location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Argentina,Buenos Aires,2021-01-20,AR,AR-B,93584,93507,77
Argentina,Buenos Aires,2021-01-25,AR,AR-B,102457,99313,3144
Argentina,Buenos Aires,2021-01-26,AR,AR-B,107343,103828,3515
Argentina,Buenos Aires,2021-01-28,AR,AR-B,111264,107284,3980
Argentina,Buenos Aires,2021-01-29,AR,AR-B,114444,110012,4432
Argentina,Buenos Aires,2021-01-30,AR,AR-B,130242,111795,18447
Argentina,Buenos Aires,2021-02-01,AR,AR-B,135665,111975,23690
Argentina,Buenos Aires,2021-02-02,AR,AR-B,145709,113717,31992
Argentina,Buenos Aires,2021-02-03,AR,AR-B,154900,114924,39976
Argentina,Buenos Aires,2021-02-04,AR,AR-B,163457,115931,47526
Argentina,Buenos Aires,2021-02-05,AR,AR-B,172196,117168,55028
Argentina,Buenos Aires,2021-02-06,AR,AR-B,181498,118432,63066
Argentina,Catamarca,2021-01-20,AR,AR-K,2739,2500,239
Argentina,Catamarca,2021-01-25,AR,AR-K,3049,2507,542
Argentina,Catamarca,2021-01-26,AR,AR-K,3287,2507,780
Argentina,Catamarca,2021-01-28,AR,AR-K,3571,2511,1060
Argentina,Catamarca,2021-01-29,AR,AR-K,3661,2530,1131
Argentina,Catamarca,2021-01-30,AR,AR-K,4257,2533,1724
Argentina,Catamarca,2021-02-01,AR,AR-K,4538,2535,2003
Argentina,Catamarca,2021-02-02,AR,AR-K,4815,2536,2279
Argentina,Catamarca,2021-02-03,AR,AR-K,4884,2537,2347
Argentina,Catamarca,2021-02-04,AR,AR-K,4905,2537,2368
Argentina,Catamarca,2021-02-05,AR,AR-K,5274,2881,2393
Argentina,Catamarca,2021-02-06,AR,AR-K,5666,3273,2393
Argentina,Chaco,2021-01-20,AR,AR-H,7041,7037,4
Argentina,Chaco,2021-01-25,AR,AR-H,9005,7622,1383
Argentina,Chaco,2021-01-26,AR,AR-H,9561,7738,1823
Argentina,Chaco,2021-01-28,AR,AR-H,9720,7752,1968
Argentina,Chaco,2021-01-29,AR,AR-H,10075,7766,2309
Argentina,Chaco,2021-01-30,AR,AR-H,11318,7891,3427
