location,region,date,location_iso,region_iso,total_vaccinations
Australia,Australian Capital Territory,2021-02-23,AU,AU-ACT,50
Australia,Australian Capital Territory,2021-02-24,AU,AU-ACT,250
Australia,Australian Capital Territory,2021-02-25,AU,AU-ACT,524
Australia,Australian Capital Territory,2021-02-26,AU,AU-ACT,778
Australia,Australian Capital Territory,2021-02-27,AU,AU-ACT,980
Australia,Australian Capital Territory,2021-03-01,AU,AU-ACT,978
Australia,Australian Capital Territory,2021-03-02,AU,AU-ACT,1173
Australia,Australian Capital Territory,2021-03-03,AU,AU-ACT,1319
Australia,Australian Capital Territory,2021-03-04,AU,AU-ACT,1563
Australia,Australian Capital Territory,2021-03-05,AU,AU-ACT,1757
Australia,Australian Capital Territory,2021-03-06,AU,AU-ACT,1949
Australia,Australian Capital Territory,2021-03-08,AU,AU-ACT,1951
Australia,Australian Capital Territory,2021-03-09,AU,AU-ACT,2155
Australia,Australian Capital Territory,2021-03-10,AU,AU-ACT,2382
Australia,Australian Capital Territory,2021-03-11,AU,AU-ACT,2687
Australia,Australian Capital Territory,2021-03-12,AU,AU-ACT,3025
Australia,Australian Capital Territory,2021-03-13,AU,AU-ACT,3360
Australia,Australian Capital Territory,2021-03-14,AU,AU-ACT,3363
Australia,Australian Capital Territory,2021-03-16,AU,AU-ACT,3869
Australia,Australian Capital Territory,2021-03-17,AU,AU-ACT,4373
Australia,Australian Capital Territory,2021-03-18,AU,AU-ACT,4875
Australia,Australian Capital Territory,2021-03-19,AU,AU-ACT,5379
Australia,Australian Capital Territory,2021-03-20,AU,AU-ACT,5901
Australia,Australian Capital Territory,2021-03-22,AU,AU-ACT,6536
Australia,Australian Capital Territory,2021-03-23,AU,AU-ACT,6984
Australia,Australian Capital Territory,2021-03-24,AU,AU-ACT,7513
Australia,Australian Capital Territory,2021-03-25,AU,AU-ACT,8035
Australia,Australian Capital Territory,2021-03-26,AU,AU-ACT,8563
Australia,Australian Capital Territory,2021-03-27,AU,AU-ACT,9096
Australia,Australian Capital Territory,2021-03-28,AU,AU-ACT,9429
Australia,Australian Capital Territory,2021-03-29,AU,AU-ACT,9746
Australia,Australian Capital Territory,2021-03-30,AU,AU-ACT,10281
Australia,Australian Capital Territory,2021-03-31,AU,AU-ACT,10819
Australia,Australian Capital Territory,2021-04-01,AU,AU-ACT,11361
Australia,Australian Capital Territory,2021-04-09,AU,AU-ACT,15823
Australia,Australian Capital Territory,2021-04-10,AU,AU-ACT,16497
Australia,Australian Capital Territory,2021-04-11,AU,AU-ACT,16979
Australia,Australian Capital Territory,2021-04-12,AU,AU-ACT,17458
Australia,Australian Capital Territory,2021-04-13,AU,AU-ACT,18059
Australia,Australian Capital Territory,2021-04-14,AU,AU-ACT,18644
Australia,Australian Capital Territory,2021-04-15,AU,AU-ACT,19236
Australia,Australian Capital Territory,2021-04-16,AU,AU-ACT,19813
Australia,Australian Capital Territory,2021-04-17,AU,AU-ACT,20365
Australia,Australian Capital Territory,2021-04-18,AU,AU-ACT,20852
Australia,Australian Capital Territory,2021-04-19,AU,AU-ACT,21332
Australia,Australian Capital Territory,2021-04-20,AU,AU-ACT,22056
Australia,Australian Capital Territory,2021-04-21,AU,AU-ACT,22619
Australia,Australian Capital Territory,2021-04-22,AU,AU-ACT,23122
Australia,Australian Capital Territory,2021-04-23,AU,AU-ACT,23624
Australia,Australian Capital Territory,2021-04-24,AU,AU-ACT,24290
Australia,Australian Capital Territory,2021-04-25,AU,AU-ACT,24831
Australia,Australian Capital Territory,2021-04-26,AU,AU-ACT,25334
Australia,Australian Capital Territory,2021-04-27,AU,AU-ACT,25979
Australia,Australian Capital Territory,2021-04-28,AU,AU-ACT,26584
Australia,Australian Capital Territory,2021-04-29,AU,AU-ACT,27219
Australia,Australian Capital Territory,2021-04-30,AU,AU-ACT,27853
Australia,Australian Capital Territory,2021-05-01,AU,AU-ACT,28547
Australia,Australian Capital Territory,2021-05-02,AU,AU-ACT,28943
Australia,Australian Capital Territory,2021-05-03,AU,AU-ACT,29327
Australia,Australian Capital Territory,2021-05-04,AU,AU-ACT,30011
Australia,Australian Capital Territory,2021-05-05,AU,AU-ACT,30733
Australia,Australian Capital Territory,2021-05-06,AU,AU-ACT,31544
Australia,Australian Capital Territory,2021-05-07,AU,AU-ACT,32337
Australia,Australian Capital Territory,2021-05-08,AU,AU-ACT,33240
Australia,Australian Capital Territory,2021-05-09,AU,AU-ACT,33627
Australia,Australian Capital Territory,2021-05-10,AU,AU-ACT,33873
Australia,New South Wales,2021-02-22,AU,AU-NSW,20
Australia,New South Wales,2021-02-23,AU,AU-NSW,1320
Australia,New South Wales,2021-02-24,AU,AU-NSW,3200
Australia,New South Wales,2021-02-25,AU,AU-NSW,5500
Australia,New South Wales,2021-02-26,AU,AU-NSW,7500
Australia,New South Wales,2021-03-01,AU,AU-NSW,10339
Australia,New South Wales,2021-03-02,AU,AU-NSW,12424
Australia,New South Wales,2021-03-03,AU,AU-NSW,14600
Australia,New South Wales,2021-03-04,AU,AU-NSW,16805
Australia,New South Wales,2021-03-06,AU,AU-NSW,19027
Australia,New South Wales,2021-03-08,AU,AU-NSW,21763
Australia,New South Wales,2021-03-10,AU,AU-NSW,27000
Australia,New South Wales,2021-03-26,AU,AU-NSW,89196
Australia,New South Wales,2021-03-28,AU,AU-NSW,97141
Australia,New South Wales,2021-03-29,AU,AU-NSW,96273
Australia,New South Wales,2021-03-31,AU,AU-NSW,100000
Australia,New South Wales,2021-04-02,AU,AU-NSW,124356
Australia,New South Wales,2021-04-09,AU,AU-NSW,146724
Australia,New South Wales,2021-04-10,AU,AU-NSW,151125
Australia,New South Wales,2021-04-11,AU,AU-NSW,151535
Australia,New South Wales,2021-04-13,AU,AU-NSW,155894
Australia,New South Wales,2021-04-14,AU,AU-NSW,160637
Australia,New South Wales,2021-04-15,AU,AU-NSW,164855
Australia,New South Wales,2021-04-16,AU,AU-NSW,169284
Australia,New South Wales,2021-04-17,AU,AU-NSW,173302
Australia,New South Wales,2021-04-18,AU,AU-NSW,173852
Australia,New South Wales,2021-04-20,AU,AU-NSW,177733
Australia,New South Wales,2021-04-21,AU,AU-NSW,181435
Australia,New South Wales,2021-04-22,AU,AU-NSW,185260
Australia,New South Wales,2021-04-23,AU,AU-NSW,188812
Australia,New South Wales,2021-04-24,AU,AU-NSW,191745
Australia,New South Wales,2021-04-25,AU,AU-NSW,192336
Australia,New South Wales,2021-04-27,AU,AU-NSW,195007
Australia,New South Wales,2021-04-28,AU,AU-NSW,198492
Australia,New South Wales,2021-04-29,AU,AU-NSW,202220
Australia,New South Wales,2021-04-30,AU,AU-NSW,206320
Australia,New South Wales,2021-05-01,AU,AU-NSW,210376
Australia,New South Wales,2021-05-02,AU,AU-NSW,211022
Australia,New South Wales,2021-05-04,AU,AU-NSW,215006
Australia,New South Wales,2021-05-05,AU,AU-NSW,219594
Australia,New South Wales,2021-05-06,AU,AU-NSW,224076
Australia,New South Wales,2021-05-07,AU,AU-NSW,229491
