location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Austria,Burgenland,2020-12-27,AT,AT-1,81,81,0
Austria,Burgenland,2020-12-28,AT,AT-1,108,108,0
Austria,Burgenland,2020-12-29,AT,AT-1,127,127,0
Austria,Burgenland,2020-12-30,AT,AT-1,134,134,0
Austria,Burgenland,2021-01-04,AT,AT-1,144,144,0
Austria,Burgenland,2021-01-05,AT,AT-1,154,154,0
Austria,Burgenland,2021-01-06,AT,AT-1,162,162,0
Austria,Burgenland,2021-01-07,AT,AT-1,192,192,0
Austria,Burgenland,2021-01-08,AT,AT-1,373,373,0
Austria,Burgenland,2021-01-09,AT,AT-1,421,421,0
Austria,Burgenland,2021-01-10,AT,AT-1,450,450,0
Austria,Burgenland,2021-01-11,AT,AT-1,740,740,0
Austria,Burgenland,2021-01-12,AT,AT-1,1304,1304,0
Austria,Burgenland,2021-01-13,AT,AT-1,1795,1795,0
Austria,Burgenland,2021-01-14,AT,AT-1,2168,2168,0
Austria,Burgenland,2021-01-15,AT,AT-1,3424,3424,0
Austria,Burgenland,2021-01-16,AT,AT-1,3585,3585,0
Austria,Burgenland,2021-01-17,AT,AT-1,3824,3750,74
Austria,Burgenland,2021-01-18,AT,AT-1,4307,4226,81
Austria,Burgenland,2021-01-19,AT,AT-1,5069,4967,102
Austria,Burgenland,2021-01-20,AT,AT-1,5773,5655,118
Austria,Burgenland,2021-01-21,AT,AT-1,6214,6096,118
Austria,Burgenland,2021-01-22,AT,AT-1,6463,6335,128
Austria,Burgenland,2021-01-23,AT,AT-1,6490,6362,128
Austria,Burgenland,2021-01-25,AT,AT-1,6563,6435,128
Austria,Burgenland,2021-01-26,AT,AT-1,6845,6700,145
Austria,Burgenland,2021-01-27,AT,AT-1,7124,6979,145
Austria,Burgenland,2021-01-28,AT,AT-1,7228,7049,179
Austria,Burgenland,2021-01-29,AT,AT-1,7464,7089,375
Austria,Burgenland,2021-01-30,AT,AT-1,7507,7090,417
Austria,Burgenland,2021-01-31,AT,AT-1,7543,7093,450
Austria,Burgenland,2021-02-01,AT,AT-1,7835,7125,710
Austria,Burgenland,2021-02-02,AT,AT-1,8617,7226,1391
Austria,Burgenland,2021-02-03,AT,AT-1,9166,7301,1865
Austria,Burgenland,2021-02-04,AT,AT-1,9548,7368,2180
Austria,Burgenland,2021-02-05,AT,AT-1,10092,7440,2652
Austria,Burgenland,2021-02-06,AT,AT-1,10269,7476,2793
Austria,Burgenland,2021-02-07,AT,AT-1,10417,7476,2941
Austria,Burgenland,2021-02-08,AT,AT-1,10683,7493,3190
Austria,Burgenland,2021-02-09,AT,AT-1,12220,7585,4635
Austria,Burgenland,2021-02-10,AT,AT-1,13138,7644,5494
Austria,Burgenland,2021-02-11,AT,AT-1,13629,7707,5922
Austria,Burgenland,2021-02-12,AT,AT-1,13956,7790,6166
Austria,Burgenland,2021-02-13,AT,AT-1,15006,8804,6202
Austria,Burgenland,2021-02-14,AT,AT-1,15009,8807,6202
Austria,Burgenland,2021-02-15,AT,AT-1,15139,8848,6291
Austria,Burgenland,2021-02-16,AT,AT-1,15411,8890,6521
Austria,Burgenland,2021-02-17,AT,AT-1,15811,8966,6845
Austria,Burgenland,2021-02-18,AT,AT-1,17074,10131,6943
Austria,Burgenland,2021-02-19,AT,AT-1,17559,10568,6991
Austria,Burgenland,2021-02-20,AT,AT-1,18809,11817,6992
Austria,Burgenland,2021-02-21,AT,AT-1,18839,11846,6993
Austria,Burgenland,2021-02-22,AT,AT-1,18942,11915,7027
Austria,Burgenland,2021-02-23,AT,AT-1,19073,11962,7111
Austria,Burgenland,2021-02-24,AT,AT-1,20272,13129,7143
Austria,Burgenland,2021-02-25,AT,AT-1,21489,14284,7205
Austria,Burgenland,2021-02-26,AT,AT-1,22246,14890,7356
Austria,Burgenland,2021-02-27,AT,AT-1,24119,16733,7386
Austria,Burgenland,2021-02-28,AT,AT-1,24163,16776,7387
Austria,Burgenland,2021-03-01,AT,AT-1,24245,16853,7392
Austria,Burgenland,2021-03-02,AT,AT-1,24475,17027,7448
Austria,Burgenland,2021-03-03,AT,AT-1,25491,18004,7487
Austria,Burgenland,2021-03-04,AT,AT-1,26899,19372,7527
Austria,Burgenland,2021-03-05,AT,AT-1,27623,20030,7593
Austria,Burgenland,2021-03-06,AT,AT-1,29927,22307,7620
Austria,Burgenland,2021-03-07,AT,AT-1,29979,22357,7622
Austria,Burgenland,2021-03-08,AT,AT-1,30083,22455,7628
Austria,Burgenland,2021-03-09,AT,AT-1,31478,23830,7648
Austria,Burgenland,2021-03-10,AT,AT-1,32351,24686,7665
Austria,Burgenland,2021-03-11,AT,AT-1,33495,25066,8429
Austria,Burgenland,2021-03-12,AT,AT-1,34468,25910,8558
Austria,Burgenland,2021-03-13,AT,AT-1,37618,28904,8714
Austria,Burgenland,2021-03-14,AT,AT-1,40426,31712,8714
Austria,Burgenland,2021-03-15,AT,AT-1,40533,31811,8722
Austria,Burgenland,2021-03-16,AT,AT-1,40649,31917,8732
Austria,Burgenland,2021-03-17,AT,AT-1,41975,32235,9740
Austria,Burgenland,2021-03-18,AT,AT-1,43663,32624,11039
Austria,Burgenland,2021-03-19,AT,AT-1,45768,34179,11589
Austria,Burgenland,2021-03-20,AT,AT-1,47919,36206,11713
Austria,Burgenland,2021-03-21,AT,AT-1,49603,37888,11715
Austria,Burgenland,2021-03-22,AT,AT-1,49710,37951,11759
Austria,Burgenland,2021-03-23,AT,AT-1,49850,38054,11796
Austria,Burgenland,2021-03-24,AT,AT-1,50820,38192,12628
Austria,Burgenland,2021-03-25,AT,AT-1,52279,38453,13826
Austria,Burgenland,2021-03-26,AT,AT-1,52765,38571,14194
Austria,Burgenland,2021-03-27,AT,AT-1,55093,38790,16303
Austria,Burgenland,2021-03-28,AT,AT-1,57471,41151,16320
Austria,Burgenland,2021-03-29,AT,AT-1,57696,41294,16402
Austria,Burgenland,2021-03-30,AT,AT-1,59301,41770,17531
Austria,Burgenland,2021-03-31,AT,AT-1,60536,42344,18192
Austria,Burgenland,2021-04-01,AT,AT-1,60903,42693,18210
Austria,Burgenland,2021-04-02,AT,AT-1,63570,45339,18231
Austria,Burgenland,2021-04-03,AT,AT-1,63664,45416,18248
Austria,Burgenland,2021-04-04,AT,AT-1,63677,45428,18249
Austria,Burgenland,2021-04-05,AT,AT-1,63694,45443,18251
