location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Belgium,Brussels,2020-12-28,BE,BE-BRU,56,56,0
Belgium,Brussels,2020-12-30,BE,BE-BRU,61,61,0
Belgium,Brussels,2020-12-31,BE,BE-BRU,62,62,0
Belgium,Brussels,2021-01-03,BE,BE-BRU,63,63,0
Belgium,Brussels,2021-01-04,BE,BE-BRU,65,65,0
Belgium,Brussels,2021-01-05,BE,BE-BRU,793,793,0
Belgium,Brussels,2021-01-06,BE,BE-BRU,1785,1785,0
Belgium,Brussels,2021-01-07,BE,BE-BRU,2779,2779,0
Belgium,Brussels,2021-01-08,BE,BE-BRU,4021,4021,0
Belgium,Brussels,2021-01-09,BE,BE-BRU,4024,4024,0
Belgium,Brussels,2021-01-10,BE,BE-BRU,4036,4036,0
Belgium,Brussels,2021-01-11,BE,BE-BRU,4048,4048,0
Belgium,Brussels,2021-01-12,BE,BE-BRU,5162,5162,0
Belgium,Brussels,2021-01-13,BE,BE-BRU,8590,8587,3
Belgium,Brussels,2021-01-14,BE,BE-BRU,10314,10310,4
Belgium,Brussels,2021-01-15,BE,BE-BRU,11134,11130,4
Belgium,Brussels,2021-01-16,BE,BE-BRU,11153,11149,4
Belgium,Brussels,2021-01-17,BE,BE-BRU,11158,11154,4
Belgium,Brussels,2021-01-18,BE,BE-BRU,11287,11283,4
Belgium,Brussels,2021-01-19,BE,BE-BRU,12629,12570,59
Belgium,Brussels,2021-01-20,BE,BE-BRU,13571,13507,64
Belgium,Brussels,2021-01-21,BE,BE-BRU,14621,14550,71
Belgium,Brussels,2021-01-22,BE,BE-BRU,15556,15482,74
Belgium,Brussels,2021-01-23,BE,BE-BRU,15707,15633,74
Belgium,Brussels,2021-01-24,BE,BE-BRU,15713,15638,75
Belgium,Brussels,2021-01-25,BE,BE-BRU,16033,15957,76
Belgium,Brussels,2021-01-26,BE,BE-BRU,17310,16468,842
Belgium,Brussels,2021-01-27,BE,BE-BRU,19133,17343,1790
Belgium,Brussels,2021-01-28,BE,BE-BRU,20832,18132,2700
Belgium,Brussels,2021-01-29,BE,BE-BRU,22656,18919,3737
Belgium,Brussels,2021-01-30,BE,BE-BRU,22771,19003,3768
Belgium,Brussels,2021-01-31,BE,BE-BRU,22784,19012,3772
Belgium,Brussels,2021-02-01,BE,BE-BRU,22975,19196,3779
Belgium,Brussels,2021-02-02,BE,BE-BRU,24316,19751,4565
Belgium,Brussels,2021-02-03,BE,BE-BRU,28534,20877,7657
Belgium,Brussels,2021-02-04,BE,BE-BRU,31091,21648,9443
Belgium,Brussels,2021-02-05,BE,BE-BRU,32685,22257,10428
Belgium,Brussels,2021-02-06,BE,BE-BRU,32899,22450,10449
Belgium,Brussels,2021-02-07,BE,BE-BRU,32925,22473,10452
Belgium,Brussels,2021-02-08,BE,BE-BRU,33376,22809,10567
Belgium,Brussels,2021-02-09,BE,BE-BRU,34930,23395,11535
Belgium,Brussels,2021-02-10,BE,BE-BRU,36387,23903,12484
