location,region,date,location_iso,region_iso,total_vaccinations
Bulgaria,Blagoevgrad,2021-01-16,BG,BG-01,630
Bulgaria,Burgas,2021-01-16,BG,BG-02,897
Bulgaria,Dobrich,2021-01-16,BG,BG-08,353
Bulgaria,Gabrovo,2021-01-16,BG,BG-07,303
Bulgaria,Haskovo,2021-01-16,BG,BG-26,405
Bulgaria,Kardzhali,2021-01-16,BG,BG-09,234
Bulgaria,Kyustendil,2021-01-16,BG,BG-10,298
Bulgaria,Lovech,2021-01-16,BG,BG-11,307
Bulgaria,Montana,2021-01-16,BG,BG-12,315
Bulgaria,Pazardzhik,2021-01-16,BG,BG-13,585
Bulgaria,Pernik,2021-01-16,BG,BG-14,260
Bulgaria,Pleven,2021-01-16,BG,BG-15,811
Bulgaria,Plovdiv,2021-01-16,BG,BG-16,2171
Bulgaria,Razgrad,2021-01-16,BG,BG-17,280
Bulgaria,Ruse,2021-01-16,BG,BG-18,585
Bulgaria,Shumen,2021-01-16,BG,BG-27,387
Bulgaria,Silistra,2021-01-16,BG,BG-19,228
Bulgaria,Sliven,2021-01-16,BG,BG-20,370
Bulgaria,Smolyan,2021-01-16,BG,BG-21,201
Bulgaria,Sofia,2021-01-16,BG,BG-23,494
Bulgaria,Sofia (stolitsa),2021-01-16,BG,BG-22,4556
Bulgaria,Stara Zagora,2021-01-16,BG,BG-24,620
Bulgaria,Targovishte,2021-01-16,BG,BG-25,246
Bulgaria,Varna,2021-01-16,BG,BG-03,1382
Bulgaria,Veliko Tarnovo,2021-01-16,BG,BG-04,555
Bulgaria,Vidin,2021-01-16,BG,BG-05,175
Bulgaria,Vratsa,2021-01-16,BG,BG-06,406
Bulgaria,Yambol,2021-01-16,BG,BG-28,278
