location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Denmark,Hovedstaden,2020-12-16,DK,DK-84,1,1,
Denmark,Hovedstaden,2020-12-17,DK,DK-84,2,2,
Denmark,Hovedstaden,2020-12-18,DK,DK-84,3,3,
Denmark,Hovedstaden,2020-12-19,DK,DK-84,4,4,
Denmark,Hovedstaden,2020-12-21,DK,DK-84,6,6,
Denmark,Hovedstaden,2020-12-23,DK,DK-84,8,8,
Denmark,Hovedstaden,2020-12-24,DK,DK-84,11,11,
Denmark,Hovedstaden,2020-12-26,DK,DK-84,13,13,
Denmark,Hovedstaden,2020-12-27,DK,DK-84,1598,1598,
Denmark,Hovedstaden,2020-12-28,DK,DK-84,2081,2081,
Denmark,Hovedstaden,2020-12-29,DK,DK-84,5525,5525,
Denmark,Hovedstaden,2020-12-30,DK,DK-84,8921,8921,
Denmark,Hovedstaden,2020-12-31,DK,DK-84,10493,10493,
Denmark,Hovedstaden,2021-01-01,DK,DK-84,11621,11621,
Denmark,Hovedstaden,2021-01-02,DK,DK-84,13736,13736,
Denmark,Hovedstaden,2021-01-03,DK,DK-84,15608,15608,
Denmark,Hovedstaden,2021-01-04,DK,DK-84,15963,15963,
Denmark,Hovedstaden,2021-01-05,DK,DK-84,22222,22222,
Denmark,Hovedstaden,2021-01-06,DK,DK-84,28619,28619,
Denmark,Hovedstaden,2021-01-07,DK,DK-84,33890,33890,
Denmark,Hovedstaden,2021-01-08,DK,DK-84,34646,34645,1
Denmark,Hovedstaden,2021-01-09,DK,DK-84,34772,34769,3
Denmark,Hovedstaden,2021-01-10,DK,DK-84,34910,34907,
Denmark,Hovedstaden,2021-01-11,DK,DK-84,35007,35004,
Denmark,Hovedstaden,2021-01-12,DK,DK-84,35079,35076,
Denmark,Hovedstaden,2021-01-13,DK,DK-84,41832,41828,4
Denmark,Hovedstaden,2021-01-14,DK,DK-84,50172,50167,5
Denmark,Hovedstaden,2021-01-15,DK,DK-84,55466,55456,10
Denmark,Hovedstaden,2021-01-16,DK,DK-84,56310,56299,11
Denmark,Hovedstaden,2021-01-17,DK,DK-84,56404,56352,52
Denmark,Hovedstaden,2021-01-18,DK,DK-84,56571,56382,189
Denmark,Hovedstaden,2021-01-19,DK,DK-84,56797,56437,360
Denmark,Hovedstaden,2021-01-20,DK,DK-84,56959,56466,493
Denmark,Hovedstaden,2021-01-21,DK,DK-84,57104,56493,611
Denmark,Hovedstaden,2021-01-22,DK,DK-84,57236,56545,691
Denmark,Hovedstaden,2021-01-23,DK,DK-84,61647,57063,4584
Denmark,Hovedstaden,2021-01-24,DK,DK-84,65837,57522,8315
Denmark,Hovedstaden,2021-01-25,DK,DK-84,66122,57572,8550
Denmark,Hovedstaden,2021-01-26,DK,DK-84,66276,57590,8686
Denmark,Hovedstaden,2021-01-27,DK,DK-84,66914,57603,9311
Denmark,Hovedstaden,2021-01-28,DK,DK-84,70645,57621,13024
Denmark,Hovedstaden,2021-01-29,DK,DK-84,78297,58024,20273
Denmark,Hovedstaden,2021-01-30,DK,DK-84,83040,58413,24627
Denmark,Hovedstaden,2021-01-31,DK,DK-84,85824,58718,27106
Denmark,Hovedstaden,2021-02-01,DK,DK-84,87764,58779,28985
Denmark,Hovedstaden,2021-02-02,DK,DK-84,87930,58832,29098
Denmark,Hovedstaden,2021-02-03,DK,DK-84,90866,58887,31979
Denmark,Hovedstaden,2021-02-04,DK,DK-84,97227,58943,38284
Denmark,Hovedstaden,2021-02-05,DK,DK-84,102036,58983,43053
Denmark,Hovedstaden,2021-02-06,DK,DK-84,105302,59303,45999
Denmark,Hovedstaden,2021-02-07,DK,DK-84,105978,59411,46567
Denmark,Hovedstaden,2021-02-08,DK,DK-84,108068,60371,47697
Denmark,Hovedstaden,2021-02-09,DK,DK-84,109579,61840,47739
Denmark,Hovedstaden,2021-02-10,DK,DK-84,111024,62354,48670
Denmark,Hovedstaden,2021-02-11,DK,DK-84,112831,63920,48911
Denmark,Hovedstaden,2021-02-12,DK,DK-84,118451,65404,53047
Denmark,Hovedstaden,2021-02-13,DK,DK-84,118527,65469,53058
