location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Iceland,Austurland,2021-02-19,IS,IS-7,767,312,455
Iceland,Austurland,2021-02-21,IS,IS-7,773,317,456
Iceland,Austurland,2021-02-22,IS,IS-7,774,318,456
Iceland,Austurland,2021-02-23,IS,IS-7,997,515,482
Iceland,Hofudborgarsvaedi,2021-02-19,IS,IS-1,9443,3547,5896
Iceland,Hofudborgarsvaedi,2021-02-21,IS,IS-1,10440,4535,5905
Iceland,Hofudborgarsvaedi,2021-02-22,IS,IS-1,10465,4558,5907
Iceland,Hofudborgarsvaedi,2021-02-23,IS,IS-1,10561,3850,6711
Iceland,Nordurland,2021-02-19,IS,"IS-6,IS-7",2164,477,1687
Iceland,Nordurland,2021-02-21,IS,"IS-6,IS-7",2241,531,1710
Iceland,Nordurland,2021-02-22,IS,"IS-6,IS-7",2244,530,1714
Iceland,Nordurland,2021-02-23,IS,"IS-6,IS-7",2300,508,1792
Iceland,Sudurland,2021-02-19,IS,IS-8,1151,469,682
Iceland,Sudurland,2021-02-21,IS,IS-8,1321,403,918
Iceland,Sudurland,2021-02-22,IS,IS-8,1364,435,929
Iceland,Sudurland,2021-02-23,IS,IS-8,1483,500,983
Iceland,Sudurnes,2021-02-19,IS,IS-2,969,507,462
Iceland,Sudurnes,2021-02-21,IS,IS-2,1238,611,627
Iceland,Sudurnes,2021-02-22,IS,IS-2,1239,612,627
Iceland,Sudurnes,2021-02-23,IS,IS-2,1372,741,631
Iceland,Vestfirdir,2021-02-19,IS,IS-4,416,106,310
Iceland,Vestfirdir,2021-02-21,IS,IS-4,430,120,310
Iceland,Vestfirdir,2021-02-22,IS,IS-4,458,140,318
Iceland,Vestfirdir,2021-02-23,IS,IS-4,484,164,320
Iceland,Vesturland,2021-02-19,IS,IS-3,786,170,616
Iceland,Vesturland,2021-02-21,IS,IS-3,825,208,617
Iceland,Vesturland,2021-02-22,IS,IS-3,867,250,617
Iceland,Vesturland,2021-02-23,IS,IS-3,920,301,619
