location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
India,Andaman and Nicobar Islands,201-02-10,IN,IN-AN,3413,3413,0
India,Andaman and Nicobar Islands,2021-01-16,IN,IN-AN,225,225,0
India,Andaman and Nicobar Islands,2021-01-18,IN,IN-AN,442,442,0
India,Andaman and Nicobar Islands,2021-01-19,IN,IN-AN,644,644,0
India,Andaman and Nicobar Islands,2021-01-21,IN,IN-AN,1032,1032,0
India,Andaman and Nicobar Islands,2021-01-22,IN,IN-AN,1466,1466,0
India,Andaman and Nicobar Islands,2021-01-23,IN,IN-AN,1998,1998,0
India,Andaman and Nicobar Islands,2021-01-24,IN,IN-AN,2019,2019,0
India,Andaman and Nicobar Islands,2021-01-25,IN,IN-AN,2369,2369,0
India,Andaman and Nicobar Islands,2021-01-27,IN,IN-AN,2385,2385,0
India,Andaman and Nicobar Islands,2021-01-28,IN,IN-AN,2656,2656,0
India,Andaman and Nicobar Islands,2021-01-29,IN,IN-AN,2727,2727,0
India,Andaman and Nicobar Islands,2021-02-03,IN,IN-AN,2772,2772,0
India,Andaman and Nicobar Islands,2021-02-04,IN,IN-AN,2938,2938,0
India,Andaman and Nicobar Islands,2021-02-05,IN,IN-AN,3161,3161,0
India,Andaman and Nicobar Islands,2021-02-07,IN,IN-AN,3397,3397,0
India,Andaman and Nicobar Islands,2021-02-11,IN,IN-AN,3454,3454,0
India,Andaman and Nicobar Islands,2021-02-13,IN,IN-AN,3646,3646,0
India,Andaman and Nicobar Islands,2021-02-15,IN,IN-AN,4029,3847,182
India,Andaman and Nicobar Islands,2021-02-17,IN,IN-AN,4227,4045,182
India,Andaman and Nicobar Islands,2021-02-18,IN,IN-AN,4842,4347,495
India,Andaman and Nicobar Islands,2021-02-19,IN,IN-AN,5348,4453,895
India,Andaman and Nicobar Islands,2021-02-20,IN,IN-AN,6152,4846,1306
India,Andaman and Nicobar Islands,2021-02-22,IN,IN-AN,7312,5442,1870
India,Andaman and Nicobar Islands,2021-02-23,IN,IN-AN,7583,5565,2018
India,Andaman and Nicobar Islands,2021-02-24,IN,IN-AN,7762,5644,2118
India,Andaman and Nicobar Islands,2021-02-25,IN,IN-AN,8419,6034,2385
India,Andaman and Nicobar Islands,2021-02-26,IN,IN-AN,8556,6134,2422
India,Andaman and Nicobar Islands,2021-03-01,IN,IN-AN,9137,6581,2556
India,Andaman and Nicobar Islands,2021-03-02,IN,IN-AN,9501,6912,2589
India,Andaman and Nicobar Islands,2021-03-05,IN,IN-AN,11119,8392,2727
India,Andaman and Nicobar Islands,2021-03-06,IN,IN-AN,11842,8977,2865
India,Andaman and Nicobar Islands,2021-03-07,IN,IN-AN,12052,9187,2865
