location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Italy,Abruzzo,2020-12-27,IT,IT-65,42,42,0
Italy,Abruzzo,2021-01-02,IT,IT-65,594,593,0
Italy,Abruzzo,2021-01-03,IT,IT-65,1065,1062,0
Italy,Abruzzo,2021-01-04,IT,IT-65,2468,2459,0
Italy,Abruzzo,2021-01-05,IT,IT-65,4084,4070,0
Italy,Abruzzo,2021-01-06,IT,IT-65,5917,5893,0
Italy,Abruzzo,2021-01-07,IT,IT-65,7522,7491,0
Italy,Abruzzo,2021-01-08,IT,IT-65,9049,9009,0
Italy,Abruzzo,2021-01-09,IT,IT-65,10533,10481,0
Italy,Abruzzo,2021-01-10,IT,IT-65,11672,11616,0
Italy,Abruzzo,2021-01-11,IT,IT-65,13225,13165,0
Italy,Abruzzo,2021-01-12,IT,IT-65,15030,14956,0
Italy,Abruzzo,2021-01-13,IT,IT-65,16290,16208,0
Italy,Abruzzo,2021-01-14,IT,IT-65,16820,16736,0
Italy,Abruzzo,2021-01-15,IT,IT-65,17200,17102,0
Italy,Abruzzo,2021-01-16,IT,IT-65,18136,18030,0
Italy,Abruzzo,2021-01-17,IT,IT-65,18324,18210,7
Italy,Abruzzo,2021-01-18,IT,IT-65,18461,18256,98
Italy,Abruzzo,2021-01-19,IT,IT-65,18572,18346,118
Italy,Abruzzo,2021-01-20,IT,IT-65,19019,18771,120
Italy,Abruzzo,2021-01-21,IT,IT-65,19176,18928,120
Italy,Abruzzo,2021-01-22,IT,IT-65,19294,19046,120
Italy,Abruzzo,2021-01-23,IT,IT-65,19558,19097,327
Italy,Abruzzo,2021-01-24,IT,IT-65,19608,19103,371
Italy,Abruzzo,2021-01-25,IT,IT-65,21213,19118,1959
Italy,Abruzzo,2021-01-26,IT,IT-65,22756,19147,3473
Italy,Abruzzo,2021-01-27,IT,IT-65,24121,19185,4800
Italy,Abruzzo,2021-01-28,IT,IT-65,25554,19197,6221
Italy,Abruzzo,2021-01-29,IT,IT-65,26942,19270,7535
Italy,Abruzzo,2021-01-30,IT,IT-65,28453,19338,8977
Italy,Abruzzo,2021-01-31,IT,IT-65,29974,19626,10209
Italy,Abruzzo,2021-02-01,IT,IT-65,31605,19895,11570
Italy,Abruzzo,2021-02-02,IT,IT-65,33368,20113,13111
Italy,Abruzzo,2021-02-03,IT,IT-65,35432,20524,14756
Italy,Abruzzo,2021-02-04,IT,IT-65,37115,21123,15828
Italy,Abruzzo,2021-02-05,IT,IT-65,38649,21895,16574
Italy,Abruzzo,2021-02-06,IT,IT-65,40260,22491,17582
Italy,Abruzzo,2021-02-07,IT,IT-65,41039,22691,18160
Italy,Abruzzo,2021-02-08,IT,IT-65,42234,23177,18869
Italy,Abruzzo,2021-02-09,IT,IT-65,43143,23676,19278
Italy,Abruzzo,2021-02-10,IT,IT-65,44089,24168,19722
