location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Korea,Busan-gwangyeoksi,2021-03-10,KR,KR-26,36622,36622,0
Korea,Busan-gwangyeoksi,2021-03-11,KR,KR-26,40074,40074,0
Korea,Busan-gwangyeoksi,2021-03-12,KR,KR-26,42808,42808,0
Korea,Busan-gwangyeoksi,2021-03-13,KR,KR-26,45640,45640,0
Korea,Busan-gwangyeoksi,2021-03-14,KR,KR-26,45897,45897,0
Korea,Busan-gwangyeoksi,2021-03-16,KR,KR-26,46843,46843,0
Korea,Busan-gwangyeoksi,2021-03-17,KR,KR-26,48909,48909,0
Korea,Busan-gwangyeoksi,2021-03-18,KR,KR-26,51017,51017,0
Korea,Busan-gwangyeoksi,2021-03-19,KR,KR-26,52395,52395,0
Korea,Busan-gwangyeoksi,2021-03-20,KR,KR-26,53607,53607,0
Korea,Busan-gwangyeoksi,2021-03-21,KR,KR-26,53659,53659,0
Korea,Busan-gwangyeoksi,2021-03-22,KR,KR-26,53630,53630,0
Korea,Busan-gwangyeoksi,2021-03-23,KR,KR-26,53961,53961,0
Korea,Busan-gwangyeoksi,2021-03-24,KR,KR-26,56813,56813,0
Korea,Busan-gwangyeoksi,2021-03-25,KR,KR-26,60726,60664,62
Korea,Busan-gwangyeoksi,2021-03-26,KR,KR-26,64182,64072,110
Korea,Busan-gwangyeoksi,2021-03-27,KR,KR-26,66335,66173,162
Korea,Busan-gwangyeoksi,2021-03-28,KR,KR-26,66508,66346,162
Korea,Chungcheongbuk-do,2021-03-10,KR,KR-43,14173,14173,0
Korea,Chungcheongbuk-do,2021-03-11,KR,KR-43,15448,15448,0
Korea,Chungcheongbuk-do,2021-03-12,KR,KR-43,16248,16248,0
Korea,Chungcheongbuk-do,2021-03-13,KR,KR-43,16826,16826,0
Korea,Chungcheongbuk-do,2021-03-14,KR,KR-43,16861,16861,0
Korea,Chungcheongbuk-do,2021-03-16,KR,KR-43,17096,17096,0
Korea,Chungcheongbuk-do,2021-03-17,KR,KR-43,17416,17416,0
Korea,Chungcheongbuk-do,2021-03-18,KR,KR-43,18419,18419,0
Korea,Chungcheongbuk-do,2021-03-19,KR,KR-43,19564,19564,0
Korea,Chungcheongbuk-do,2021-03-20,KR,KR-43,20439,20439,0
Korea,Chungcheongbuk-do,2021-03-22,KR,KR-43,20385,20385,0
Korea,Chungcheongbuk-do,2021-03-23,KR,KR-43,20599,20599,0
Korea,Chungcheongbuk-do,2021-03-24,KR,KR-43,21027,21027,0
Korea,Chungcheongbuk-do,2021-03-25,KR,KR-43,22199,22175,24
Korea,Chungcheongbuk-do,2021-03-26,KR,KR-43,23464,23425,39
Korea,Chungcheongbuk-do,2021-03-27,KR,KR-43,24391,24330,61
Korea,Chungcheongbuk-do,2021-03-28,KR,KR-43,24451,24390,61
Korea,Chungcheongnam-do,2021-03-10,KR,KR-44,21760,21760,0
Korea,Chungcheongnam-do,2021-03-11,KR,KR-44,24210,24210,0
Korea,Chungcheongnam-do,2021-03-12,KR,KR-44,25467,25467,0
Korea,Chungcheongnam-do,2021-03-13,KR,KR-44,26238,26238,0
Korea,Chungcheongnam-do,2021-03-14,KR,KR-44,26250,26250,0
Korea,Chungcheongnam-do,2021-03-15,KR,KR-44,26272,26272,0
Korea,Chungcheongnam-do,2021-03-16,KR,KR-44,26531,26531,0
Korea,Chungcheongnam-do,2021-03-17,KR,KR-44,26881,26881,0
Korea,Chungcheongnam-do,2021-03-18,KR,KR-44,27008,27008,0
Korea,Chungcheongnam-do,2021-03-19,KR,KR-44,27403,27403,0
Korea,Chungcheongnam-do,2021-03-20,KR,KR-44,27507,27507,0
Korea,Chungcheongnam-do,2021-03-21,KR,KR-44,27520,27520,0
Korea,Chungcheongnam-do,2021-03-22,KR,KR-44,27593,27593,0
Korea,Chungcheongnam-do,2021-03-23,KR,KR-44,27578,27578,0
Korea,Chungcheongnam-do,2021-03-24,KR,KR-44,28586,28586,0
Korea,Chungcheongnam-do,2021-03-25,KR,KR-44,29476,29396,80
Korea,Chungcheongnam-do,2021-03-26,KR,KR-44,31583,31441,142
Korea,Chungcheongnam-do,2021-03-27,KR,KR-44,33460,33122,338
Korea,Chungcheongnam-do,2021-03-28,KR,KR-44,33672,33334,338
Korea,Daegu-gwangyeoksi,2021-03-10,KR,KR-27,22917,22917,0
Korea,Daegu-gwangyeoksi,2021-03-11,KR,KR-27,25379,25379,0
Korea,Daegu-gwangyeoksi,2021-03-12,KR,KR-27,27263,27263,0
