location,region,date,location_iso,region_iso,total_vaccinations
Lebanon,Aakkar,2021-02-15,LB,LB-AK,2
Lebanon,Aakkar,2021-02-16,LB,LB-AK,15
Lebanon,Aakkar,2021-02-17,LB,LB-AK,19
Lebanon,Aakkar,2021-02-18,LB,LB-AK,28
Lebanon,Aakkar,2021-02-19,LB,LB-AK,50
Lebanon,Aakkar,2021-02-22,LB,LB-AK,207
Lebanon,Aakkar,2021-02-23,LB,LB-AK,118
Lebanon,Baalbek-Hermel,2021-02-15,LB,LB-BH,17
Lebanon,Baalbek-Hermel,2021-02-16,LB,LB-BH,41
Lebanon,Baalbek-Hermel,2021-02-17,LB,LB-BH,95
Lebanon,Baalbek-Hermel,2021-02-18,LB,LB-BH,82
Lebanon,Baalbek-Hermel,2021-02-19,LB,LB-BH,96
Lebanon,Baalbek-Hermel,2021-02-21,LB,LB-BH,3
Lebanon,Baalbek-Hermel,2021-02-22,LB,LB-BH,106
Lebanon,Baalbek-Hermel,2021-02-23,LB,LB-BH,84
Lebanon,Beqaa,2021-02-14,LB,LB-BI,1
Lebanon,Beqaa,2021-02-15,LB,LB-BI,18
Lebanon,Beqaa,2021-02-16,LB,LB-BI,136
Lebanon,Beqaa,2021-02-17,LB,LB-BI,231
Lebanon,Beqaa,2021-02-18,LB,LB-BI,143
Lebanon,Beqaa,2021-02-19,LB,LB-BI,161
Lebanon,Beqaa,2021-02-22,LB,LB-BI,344
Lebanon,Beqaa,2021-02-23,LB,LB-BI,222
Lebanon,Beyrouth,2021-02-14,LB,LB-BA,9
Lebanon,Beyrouth,2021-02-15,LB,LB-BA,321
Lebanon,Beyrouth,2021-02-16,LB,LB-BA,352
Lebanon,Beyrouth,2021-02-17,LB,LB-BA,513
Lebanon,Beyrouth,2021-02-18,LB,LB-BA,1012
Lebanon,Beyrouth,2021-02-19,LB,LB-BA,778
Lebanon,Beyrouth,2021-02-22,LB,LB-BA,794
Lebanon,Beyrouth,2021-02-23,LB,LB-BA,555
Lebanon,Liban-Nord,2021-02-15,LB,LB-AS,101
Lebanon,Liban-Nord,2021-02-16,LB,LB-AS,181
Lebanon,Liban-Nord,2021-02-17,LB,LB-AS,345
Lebanon,Liban-Nord,2021-02-18,LB,LB-AS,400
Lebanon,Liban-Nord,2021-02-19,LB,LB-AS,499
Lebanon,Liban-Nord,2021-02-21,LB,LB-AS,1
Lebanon,Liban-Nord,2021-02-22,LB,LB-AS,595
Lebanon,Liban-Nord,2021-02-23,LB,LB-AS,528
Lebanon,Liban-Sud,2021-02-15,LB,LB-JA,94
Lebanon,Liban-Sud,2021-02-16,LB,LB-JA,195
Lebanon,Liban-Sud,2021-02-17,LB,LB-JA,288
Lebanon,Liban-Sud,2021-02-18,LB,LB-JA,356
Lebanon,Liban-Sud,2021-02-19,LB,LB-JA,383
Lebanon,Liban-Sud,2021-02-21,LB,LB-JA,1
Lebanon,Liban-Sud,2021-02-22,LB,LB-JA,497
Lebanon,Liban-Sud,2021-02-23,LB,LB-JA,344
Lebanon,Mont-Liban,2021-02-14,LB,LB-JL,16
Lebanon,Mont-Liban,2021-02-15,LB,LB-JL,808
Lebanon,Mont-Liban,2021-02-16,LB,LB-JL,1189
Lebanon,Mont-Liban,2021-02-17,LB,LB-JL,1318
Lebanon,Mont-Liban,2021-02-18,LB,LB-JL,1947
Lebanon,Mont-Liban,2021-02-19,LB,LB-JL,2062
Lebanon,Mont-Liban,2021-02-20,LB,LB-JL,7
Lebanon,Mont-Liban,2021-02-21,LB,LB-JL,3
Lebanon,Mont-Liban,2021-02-22,LB,LB-JL,2360
Lebanon,Mont-Liban,2021-02-23,LB,LB-JL,1824
Lebanon,Nabatiye,2021-02-15,LB,LB-NA,69
Lebanon,Nabatiye,2021-02-16,LB,LB-NA,94
Lebanon,Nabatiye,2021-02-17,LB,LB-NA,210
Lebanon,Nabatiye,2021-02-18,LB,LB-NA,205
Lebanon,Nabatiye,2021-02-19,LB,LB-NA,223
Lebanon,Nabatiye,2021-02-21,LB,LB-NA,5
Lebanon,Nabatiye,2021-02-22,LB,LB-NA,320
Lebanon,Nabatiye,2021-02-23,LB,LB-NA,207
