location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Norway,Agder,2021-01-21,NO,NO-42,3586,,
Norway,Agder,2021-01-22,NO,NO-42,3875,,
Norway,Agder,2021-01-25,NO,NO-42,3989,,
Norway,Agder,2021-01-26,NO,NO-42,4005,,
Norway,Agder,2021-01-27,NO,NO-42,4059,,
Norway,Agder,2021-01-28,NO,NO-42,4128,4062,66
Norway,Agder,2021-01-29,NO,NO-42,6135,5224,911
Norway,Agder,2021-02-01,NO,NO-42,6781,5736,1045
Norway,Agder,2021-02-02,NO,NO-42,6830,5780,1050
Norway,Agder,2021-02-03,NO,NO-42,7080,5901,1179
Norway,Agder,2021-02-04,NO,NO-42,8858,7185,1673
Norway,Agder,2021-02-05,NO,NO-42,12200,10035,2165
Norway,Agder,2021-02-08,NO,NO-42,12520,10071,2449
Norway,Agder,2021-02-10,NO,NO-42,13300,10285,3015
Norway,Agder,2021-02-11,NO,NO-42,16041,12584,3457
Norway,Agder,2021-02-15,NO,NO-42,16912,13370,3542
Norway,Agder,2021-02-16,NO,NO-42,16943,13379,3564
Norway,Agder,2021-02-17,NO,NO-42,17205,13529,3676
Norway,Agder,2021-02-18,NO,NO-42,18770,14680,4090
Norway,Agder,2021-02-19,NO,NO-42,20579,15750,4829
Norway,Agder,2021-02-22,NO,NO-42,22122,16847,5275
Norway,Agder,2021-02-24,NO,NO-42,22609,17133,5476
Norway,Agder,2021-02-25,NO,NO-42,24270,17724,6546
Norway,Agder,2021-02-26,NO,NO-42,26627,18488,8139
Norway,Agder,2021-03-01,NO,NO-42,27617,18902,8715
Norway,Agder,2021-03-02,NO,NO-42,27972,19255,8717
Norway,Agder,2021-03-03,NO,NO-42,28670,19746,8924
Norway,Agder,2021-03-04,NO,NO-42,30384,20593,9791
Norway,Agder,2021-03-05,NO,NO-42,32383,21529,10854
Norway,Agder,2021-03-08,NO,NO-42,34278,22690,11588
Norway,Agder,2021-03-09,NO,NO-42,34511,22904,11607
Norway,Agder,2021-03-10,NO,NO-42,35418,23696,11722
Norway,Agder,2021-03-11,NO,NO-42,37200,24695,12505
Norway,Agder,2021-03-12,NO,NO-42,38625,25355,13270
Norway,Agder,2021-03-15,NO,NO-42,39249,25613,13636
Norway,Agder,2021-03-16,NO,NO-42,39424,25726,13698
Norway,Agder,2021-03-17,NO,NO-42,39542,25826,13716
Norway,Agder,2021-03-18,NO,NO-42,41095,27304,13791
Norway,Agder,2021-03-19,NO,NO-42,42545,28674,13871
Norway,Agder,2021-03-22,NO,NO-42,43103,29121,13982
Norway,Agder,2021-03-29,NO,NO-42,48633,34483,14150
Norway,Agder,2021-03-30,NO,NO-42,49016,34861,14155
Norway,Agder,2021-03-31,NO,NO-42,49778,35550,14228
Norway,Agder,2021-04-01,NO,NO-42,53239,38614,14625
Norway,Agder,2021-04-02,NO,NO-42,53842,39161,14681
Norway,Agder,2021-04-09,NO,NO-42,60902,46064,14838
Norway,Agder,2021-04-12,NO,NO-42,62904,48022,14882
Norway,Agder,2021-04-13,NO,NO-42,62966,48082,14884
Norway,Agder,2021-04-14,NO,NO-42,63527,48635,14892
Norway,Agder,2021-04-15,NO,NO-42,67349,52424,14925
Norway,Agder,2021-04-16,NO,NO-42,71892,56939,14953
Norway,Agder,2021-04-19,NO,NO-42,74689,59718,14971
Norway,Agder,2021-04-20,NO,NO-42,74718,59736,14982
Norway,Agder,2021-04-21,NO,NO-42,75048,60057,14991
Norway,Agder,2021-04-22,NO,NO-42,78161,63073,15088
Norway,Agder,2021-04-24,NO,NO-42,81919,66785,15134
Norway,Agder,2021-04-26,NO,NO-42,83468,68309,15159
Norway,Agder,2021-04-27,NO,NO-42,83476,68314,15162
Norway,Agder,2021-04-28,NO,NO-42,84005,68676,15329
Norway,Agder,2021-04-29,NO,NO-42,87759,71453,16306
Norway,Agder,2021-04-30,NO,NO-42,92744,75024,17720
Norway,Agder,2021-05-03,NO,NO-42,95992,77582,18410
Norway,Agder,2021-05-04,NO,NO-42,96016,77604,18412
Norway,Agder,2021-05-05,NO,NO-42,96494,77920,18574
Norway,Agder,2021-05-06,NO,NO-42,100547,80112,20435
Norway,Agder,2021-05-07,NO,NO-42,105195,82551,22644
Norway,Agder,2021-05-10,NO,NO-42,108057,83962,24095
Norway,Agder,2021-05-11,NO,NO-42,109748,83976,25772
Norway,Agder,2021-05-12,NO,NO-42,110930,84299,26631
Norway,Agder,2021-05-13,NO,NO-42,118042,86936,31106
Norway,Agder,2021-05-14,NO,NO-42,118670,87216,31454
Norway,Agder,2021-05-17,NO,NO-42,120891,88810,32081
Norway,Agder,2021-05-18,NO,NO-42,120902,88817,32085
Norway,Agder,2021-05-19,NO,NO-42,121819,88906,32913
Norway,Agder,2021-05-20,NO,NO-42,125702,89176,36526
Norway,Agder,2021-05-21,NO,NO-42,131543,89781,41762
Norway,Agder,2021-05-24,NO,NO-42,133227,90096,43131
Norway,Agder,2021-05-25,NO,NO-42,133286,90104,43182
Norway,Agder,2021-05-26,NO,NO-42,134265,90234,44031
Norway,Agder,2021-05-27,NO,NO-42,139564,90627,48937
Norway,Agder,2021-05-28,NO,NO-42,145970,91191,54779
Norway,Agder,2021-05-31,NO,NO-42,148372,91680,56692
Norway,Agder,2021-06-01,NO,NO-42,148528,91761,56767
Norway,Agder,2021-06-02,NO,NO-42,149436,92259,57177
Norway,Agder,2021-06-03,NO,NO-42,155105,94357,60748
Norway,Agder,2021-06-04,NO,NO-42,163465,98506,64959
Norway,Agder,2021-06-07,NO,NO-42,167651,101111,66540
Norway,Agder,2021-06-08,NO,NO-42,168152,101321,66831
Norway,Agder,2021-06-09,NO,NO-42,170255,103018,67237
Norway,Agder,2021-06-10,NO,NO-42,174991,104381,70610
Norway,Agder,2021-06-11,NO,NO-42,181377,106465,74912
Norway,Agder,2021-06-14,NO,NO-42,184590,107296,77294
Norway,Agder,2021-06-15,NO,NO-42,186018,108626,77392
Norway,Agder,2021-06-16,NO,NO-42,188008,110334,77674
Norway,Agder,2021-06-17,NO,NO-42,192570,113024,79546
Norway,Agder,2021-06-18,NO,NO-42,197793,116162,81631
Norway,Agder,2021-06-21,NO,NO-42,200779,118202,82577
Norway,Agder,2021-06-22,NO,NO-42,202256,119599,82657
Norway,Agder,2021-06-23,NO,NO-42,204352,121480,82872
Norway,Agder,2021-06-24,NO,NO-42,208801,124273,84528
Norway,Agder,2021-06-25,NO,NO-42,214719,128824,85895
Norway,Agder,2021-06-28,NO,NO-42,219131,131763,87368
Norway,Agder,2021-06-29,NO,NO-42,220972,133517,87455
Norway,Agder,2021-06-30,NO,NO-42,223440,135887,87553
Norway,Agder,2021-07-01,NO,NO-42,228075,140181,87894
Norway,Agder,2021-07-02,NO,NO-42,234042,145540,88502
Norway,Agder,2021-07-05,NO,NO-42,237945,149205,88740
Norway,Agder,2021-07-06,NO,NO-42,239621,150842,88779
Norway,Agder,2021-07-08,NO,NO-42,245596,156069,89527
Norway,Agder,2021-07-09,NO,NO-42,251179,161175,90004
Norway,Agder,2021-07-12,NO,NO-42,253413,163149,90264
Norway,Agder,2021-07-13,NO,NO-42,254526,164207,90319
Norway,Agder,2021-07-14,NO,NO-42,256369,165590,90779
Norway,Agder,2021-07-15,NO,NO-42,260764,167729,93035
Norway,Agder,2021-07-16,NO,NO-42,265627,170100,95527
Norway,Agder,2021-07-19,NO,NO-42,268610,171600,97010
Norway,Agder,2021-07-20,NO,NO-42,270262,173142,97120
Norway,Agder,2021-07-21,NO,NO-42,272675,174330,98345
Norway,Agder,2021-07-22,NO,NO-42,277410,178243,99167
Norway,Agder,2021-07-23,NO,NO-42,283992,183258,100734
Norway,Agder,2021-07-26,NO,NO-42,287549,186280,101269
Norway,Agder,2021-07-27,NO,NO-42,288986,187529,101457
Norway,Agder,2021-07-28,NO,NO-42,292020,189525,102495
Norway,Agder,2021-07-29,NO,NO-42,297104,192549,104555
Norway,Agder,2021-07-30,NO,NO-42,304059,196736,107323
Norway,Agder,2021-08-02,NO,NO-42,308269,199599,108670
Norway,Agder,2021-08-03,NO,NO-42,310864,200770,110094
Norway,Agder,2021-08-04,NO,NO-42,314350,202074,112276
Norway,Agder,2021-08-05,NO,NO-42,316328,204052,112276
Norway,Agder,2021-08-06,NO,NO-42,326031,206486,119545
Norway,Agder,2021-08-09,NO,NO-42,330706,208645,122061
Norway,Agder,2021-08-10,NO,NO-42,332395,208795,123600
Norway,Agder,2021-08-11,NO,NO-42,334473,209200,125273
Norway,Agder,2021-08-12,NO,NO-42,342106,210701,131405
Norway,Agder,2021-08-13,NO,NO-42,348251,212139,136112
Norway,Agder,2021-08-16,NO,NO-42,354018,213037,140981
Norway,Agder,2021-08-17,NO,NO-42,355659,213195,142464
Norway,Agder,2021-08-18,NO,NO-42,358226,213510,144716
Norway,Agder,2021-08-19,NO,NO-42,363662,214157,149505
Norway,Agder,2021-08-20,NO,NO-42,371236,215083,156153
Norway,Agder,2021-08-23,NO,NO-42,374936,215448,159488
Norway,Innlandet,2021-01-21,NO,NO-34,6236,,
Norway,Innlandet,2021-01-22,NO,NO-34,7166,,
Norway,Innlandet,2021-01-25,NO,NO-34,7061,,
Norway,Innlandet,2021-01-26,NO,NO-34,7108,,
Norway,Innlandet,2021-01-27,NO,NO-34,7252,,
Norway,Innlandet,2021-01-28,NO,NO-34,7995,7251,744
Norway,Innlandet,2021-01-29,NO,NO-34,10774,8943,1831
Norway,Innlandet,2021-02-01,NO,NO-34,11397,9305,2092
