location,region,date,location_iso,region_iso,total_vaccinations
Peru,Amazonas,2021-02-12,PE,PE-AMA,723
Peru,Amazonas,2021-02-13,PE,PE-AMA,815
Peru,Amazonas,2021-02-15,PE,PE-AMA,864
Peru,Amazonas,2021-02-16,PE,PE-AMA,1128
Peru,Amazonas,2021-02-17,PE,PE-AMA,1174
Peru,Amazonas,2021-02-18,PE,PE-AMA,1202
Peru,Amazonas,2021-02-19,PE,PE-AMA,1208
Peru,Amazonas,2021-02-20,PE,PE-AMA,1544
Peru,Amazonas,2021-02-21,PE,PE-AMA,1711
Peru,Amazonas,2021-02-23,PE,PE-AMA,3303
Peru,Amazonas,2021-02-24,PE,PE-AMA,4118
Peru,Amazonas,2021-02-25,PE,PE-AMA,4247
Peru,Amazonas,2021-02-26,PE,PE-AMA,4360
Peru,Amazonas,2021-02-27,PE,PE-AMA,4375
Peru,Amazonas,2021-02-28,PE,PE-AMA,4416
Peru,Amazonas,2021-03-01,PE,PE-AMA,4530
Peru,Amazonas,2021-03-02,PE,PE-AMA,4584
Peru,Amazonas,2021-03-03,PE,PE-AMA,4842
Peru,Amazonas,2021-03-04,PE,PE-AMA,4950
Peru,Amazonas,2021-03-05,PE,PE-AMA,5444
Peru,Amazonas,2021-03-06,PE,PE-AMA,5508
Peru,Amazonas,2021-03-07,PE,PE-AMA,5536
Peru,Amazonas,2021-03-08,PE,PE-AMA,5695
Peru,Amazonas,2021-03-09,PE,PE-AMA,5765
Peru,Amazonas,2021-03-10,PE,PE-AMA,5817
Peru,Amazonas,2021-03-11,PE,PE-AMA,5889
Peru,Ancash,2021-02-12,PE,PE-ANC,1321
Peru,Ancash,2021-02-13,PE,PE-ANC,2286
Peru,Ancash,2021-02-14,PE,PE-ANC,2372
Peru,Ancash,2021-02-15,PE,PE-ANC,2750
Peru,Ancash,2021-02-16,PE,PE-ANC,3130
Peru,Ancash,2021-02-17,PE,PE-ANC,3163
Peru,Ancash,2021-02-18,PE,PE-ANC,3182
Peru,Ancash,2021-02-19,PE,PE-ANC,3214
Peru,Ancash,2021-02-20,PE,PE-ANC,3218
Peru,Ancash,2021-02-23,PE,PE-ANC,3839
Peru,Ancash,2021-02-24,PE,PE-ANC,5407
Peru,Ancash,2021-02-25,PE,PE-ANC,6963
Peru,Ancash,2021-02-26,PE,PE-ANC,8051
Peru,Ancash,2021-02-27,PE,PE-ANC,8304
Peru,Ancash,2021-02-28,PE,PE-ANC,8383
Peru,Ancash,2021-03-01,PE,PE-ANC,8907
Peru,Ancash,2021-03-02,PE,PE-ANC,9152
Peru,Ancash,2021-03-03,PE,PE-ANC,9377
Peru,Ancash,2021-03-04,PE,PE-ANC,9807
Peru,Ancash,2021-03-05,PE,PE-ANC,10891
Peru,Ancash,2021-03-06,PE,PE-ANC,11194
Peru,Ancash,2021-03-07,PE,PE-ANC,11200
Peru,Ancash,2021-03-08,PE,PE-ANC,11907
Peru,Ancash,2021-03-09,PE,PE-ANC,12282
Peru,Ancash,2021-03-10,PE,PE-ANC,12402
Peru,Ancash,2021-03-11,PE,PE-ANC,12487
Peru,Apurimac,2021-02-12,PE,PE-APU,1890
Peru,Apurimac,2021-02-13,PE,PE-APU,2132
Peru,Apurimac,2021-02-14,PE,PE-APU,2176
Peru,Apurimac,2021-02-15,PE,PE-APU,2252
Peru,Apurimac,2021-02-16,PE,PE-APU,2698
Peru,Apurimac,2021-02-17,PE,PE-APU,2812
Peru,Apurimac,2021-02-18,PE,PE-APU,2850
Peru,Apurimac,2021-02-19,PE,PE-APU,2885
Peru,Apurimac,2021-02-20,PE,PE-APU,3053
Peru,Apurimac,2021-02-21,PE,PE-APU,3291
Peru,Apurimac,2021-02-23,PE,PE-APU,4327
Peru,Apurimac,2021-02-24,PE,PE-APU,4919
Peru,Apurimac,2021-02-25,PE,PE-APU,5368
Peru,Apurimac,2021-02-26,PE,PE-APU,5851
Peru,Apurimac,2021-02-27,PE,PE-APU,6011
Peru,Apurimac,2021-02-28,PE,PE-APU,6135
Peru,Apurimac,2021-03-01,PE,PE-APU,6282
Peru,Apurimac,2021-03-02,PE,PE-APU,6386
Peru,Apurimac,2021-03-03,PE,PE-APU,6517
Peru,Apurimac,2021-03-04,PE,PE-APU,6646
Peru,Apurimac,2021-03-05,PE,PE-APU,7871
Peru,Apurimac,2021-03-06,PE,PE-APU,8113
Peru,Apurimac,2021-03-07,PE,PE-APU,8182
Peru,Apurimac,2021-03-08,PE,PE-APU,8483
Peru,Apurimac,2021-03-09,PE,PE-APU,8679
Peru,Apurimac,2021-03-10,PE,PE-APU,8732
Peru,Apurimac,2021-03-11,PE,PE-APU,8961
Peru,Arequipa,2021-02-12,PE,PE-ARE,1212
Peru,Arequipa,2021-02-13,PE,PE-ARE,2963
Peru,Arequipa,2021-02-14,PE,PE-ARE,3380
Peru,Arequipa,2021-02-15,PE,PE-ARE,3880
Peru,Arequipa,2021-02-16,PE,PE-ARE,6174
Peru,Arequipa,2021-02-17,PE,PE-ARE,6643
Peru,Arequipa,2021-02-18,PE,PE-ARE,6711
Peru,Arequipa,2021-02-19,PE,PE-ARE,7170
Peru,Arequipa,2021-02-20,PE,PE-ARE,8467
Peru,Arequipa,2021-02-21,PE,PE-ARE,8808
Peru,Arequipa,2021-02-22,PE,PE-ARE,8823
Peru,Arequipa,2021-02-23,PE,PE-ARE,11880
Peru,Arequipa,2021-02-24,PE,PE-ARE,12984
Peru,Arequipa,2021-02-25,PE,PE-ARE,13626
Peru,Arequipa,2021-02-26,PE,PE-ARE,13911
Peru,Arequipa,2021-02-27,PE,PE-ARE,14155
Peru,Arequipa,2021-02-28,PE,PE-ARE,14243
Peru,Arequipa,2021-03-01,PE,PE-ARE,14737
Peru,Arequipa,2021-03-02,PE,PE-ARE,14922
Peru,Arequipa,2021-03-03,PE,PE-ARE,15097
Peru,Arequipa,2021-03-04,PE,PE-ARE,15151
Peru,Arequipa,2021-03-05,PE,PE-ARE,16161
Peru,Arequipa,2021-03-06,PE,PE-ARE,17373
Peru,Arequipa,2021-03-07,PE,PE-ARE,17671
Peru,Arequipa,2021-03-08,PE,PE-ARE,18888
Peru,Arequipa,2021-03-09,PE,PE-ARE,19256
Peru,Arequipa,2021-03-10,PE,PE-ARE,19613
Peru,Arequipa,2021-03-11,PE,PE-ARE,19738
Peru,Ayacucho,2021-02-12,PE,PE-AYA,2299
Peru,Ayacucho,2021-02-13,PE,PE-AYA,2475
Peru,Ayacucho,2021-02-14,PE,PE-AYA,2516
Peru,Ayacucho,2021-02-15,PE,PE-AYA,2674
Peru,Ayacucho,2021-02-16,PE,PE-AYA,2999
Peru,Ayacucho,2021-02-17,PE,PE-AYA,3110
Peru,Ayacucho,2021-02-18,PE,PE-AYA,3746
Peru,Ayacucho,2021-02-19,PE,PE-AYA,5187
Peru,Ayacucho,2021-02-20,PE,PE-AYA,6094
Peru,Ayacucho,2021-02-21,PE,PE-AYA,6187
Peru,Ayacucho,2021-02-23,PE,PE-AYA,6580
Peru,Ayacucho,2021-02-24,PE,PE-AYA,6681
Peru,Ayacucho,2021-02-25,PE,PE-AYA,6821
Peru,Ayacucho,2021-02-26,PE,PE-AYA,7111
Peru,Ayacucho,2021-02-27,PE,PE-AYA,7121
Peru,Ayacucho,2021-02-28,PE,PE-AYA,7123
Peru,Ayacucho,2021-03-01,PE,PE-AYA,7268
Peru,Ayacucho,2021-03-02,PE,PE-AYA,7424
Peru,Ayacucho,2021-03-03,PE,PE-AYA,8103
Peru,Ayacucho,2021-03-04,PE,PE-AYA,8702
Peru,Ayacucho,2021-03-05,PE,PE-AYA,9737
Peru,Ayacucho,2021-03-06,PE,PE-AYA,9882
Peru,Ayacucho,2021-03-07,PE,PE-AYA,9905
Peru,Ayacucho,2021-03-08,PE,PE-AYA,10115
Peru,Ayacucho,2021-03-09,PE,PE-AYA,10311
Peru,Ayacucho,2021-03-10,PE,PE-AYA,10433
Peru,Ayacucho,2021-03-11,PE,PE-AYA,10831
Peru,Cajamarca,2021-02-12,PE,PE-CAJ,2049
Peru,Cajamarca,2021-02-13,PE,PE-CAJ,2522
Peru,Cajamarca,2021-02-14,PE,PE-CAJ,2550
Peru,Cajamarca,2021-02-15,PE,PE-CAJ,2889
Peru,Cajamarca,2021-02-16,PE,PE-CAJ,3573
Peru,Cajamarca,2021-02-17,PE,PE-CAJ,3666
Peru,Cajamarca,2021-02-18,PE,PE-CAJ,3726
Peru,Cajamarca,2021-02-19,PE,PE-CAJ,3727
Peru,Cajamarca,2021-02-20,PE,PE-CAJ,3761
Peru,Cajamarca,2021-02-23,PE,PE-CAJ,4631
Peru,Cajamarca,2021-02-24,PE,PE-CAJ,6149
Peru,Cajamarca,2021-02-25,PE,PE-CAJ,6975
Peru,Cajamarca,2021-02-26,PE,PE-CAJ,7932
Peru,Cajamarca,2021-02-27,PE,PE-CAJ,8454
Peru,Cajamarca,2021-02-28,PE,PE-CAJ,8606
Peru,Cajamarca,2021-03-01,PE,PE-CAJ,9120
Peru,Cajamarca,2021-03-02,PE,PE-CAJ,9668
Peru,Cajamarca,2021-03-03,PE,PE-CAJ,10659
Peru,Cajamarca,2021-03-04,PE,PE-CAJ,11664
Peru,Cajamarca,2021-03-05,PE,PE-CAJ,12670
Peru,Cajamarca,2021-03-06,PE,PE-CAJ,13043
Peru,Cajamarca,2021-03-07,PE,PE-CAJ,13071
Peru,Cajamarca,2021-03-08,PE,PE-CAJ,13559
Peru,Cajamarca,2021-03-09,PE,PE-CAJ,13790
Peru,Cajamarca,2021-03-10,PE,PE-CAJ,14393
Peru,Cajamarca,2021-03-11,PE,PE-CAJ,14601
Peru,Cusco,2021-02-12,PE,PE-CUS,2207
Peru,Cusco,2021-02-13,PE,PE-CUS,2344
Peru,Cusco,2021-02-14,PE,PE-CUS,2562
Peru,Cusco,2021-02-15,PE,PE-CUS,2947
Peru,Cusco,2021-02-16,PE,PE-CUS,4161
Peru,Cusco,2021-02-17,PE,PE-CUS,4556
Peru,Cusco,2021-02-18,PE,PE-CUS,4743
Peru,Cusco,2021-02-19,PE,PE-CUS,5924
Peru,Cusco,2021-02-20,PE,PE-CUS,7454
Peru,Cusco,2021-02-21,PE,PE-CUS,7676
Peru,Cusco,2021-02-23,PE,PE-CUS,9265
Peru,Cusco,2021-02-24,PE,PE-CUS,9756
Peru,Cusco,2021-02-25,PE,PE-CUS,10035
Peru,Cusco,2021-02-26,PE,PE-CUS,10201
Peru,Cusco,2021-02-27,PE,PE-CUS,10287
Peru,Cusco,2021-02-28,PE,PE-CUS,10334
Peru,Cusco,2021-03-01,PE,PE-CUS,10460
Peru,Cusco,2021-03-02,PE,PE-CUS,10552
