location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Poland,Dolnoslaskie,2021-01-25,PL,PL-02,62824,58368,4456
Poland,Kujawsko-pomorskie,2021-01-25,PL,PL-04,35918,33124,2794
Poland,Lodzkie,2021-01-25,PL,PL-10,52281,48088,4193
Poland,Lubelskie,2021-01-25,PL,PL-06,39257,37096,2161
Poland,Lubuskie,2021-01-25,PL,PL-08,15754,14225,1529
Poland,Malopolskie,2021-01-25,PL,PL-12,54446,51173,3273
Poland,Mazowieckie,2021-01-25,PL,PL-14,112806,106350,6456
Poland,Opolskie,2021-01-25,PL,PL-16,19340,17770,1570
Poland,Podkarpackie,2021-01-25,PL,PL-18,29392,27318,2074
Poland,Podlaskie,2021-01-25,PL,PL-20,20841,18834,2007
Poland,Pomorskie,2021-01-25,PL,PL-22,48206,43911,4295
Poland,Slaskie,2021-01-25,PL,PL-24,80816,76930,3886
Poland,Swietokrzyskie,2021-01-25,PL,PL-26,19171,17984,1187
Poland,Warminsko-mazurskie,2021-01-25,PL,PL-28,24795,23799,996
Poland,Wielkopolskie,2021-01-25,PL,PL-30,61601,56793,4808
Poland,Zachodniopomorskie,2021-01-25,PL,PL-32,30025,27990,2035
Poland,Dolnoslaskie,2021-01-26,PL,PL-02,62824,58368,4456
Poland,Kujawsko-pomorskie,2021-01-26,PL,PL-04,35918,33124,2794
Poland,Lodzkie,2021-01-26,PL,PL-10,52281,48088,4193
Poland,Lubelskie,2021-01-26,PL,PL-06,39257,37096,2161
Poland,Lubuskie,2021-01-26,PL,PL-08,15754,14225,1529
Poland,Malopolskie,2021-01-26,PL,PL-12,54446,51173,3273
Poland,Mazowieckie,2021-01-26,PL,PL-14,112806,106350,6456
Poland,Opolskie,2021-01-26,PL,PL-16,19340,17770,1570
Poland,Podkarpackie,2021-01-26,PL,PL-18,29392,27318,2074
Poland,Podlaskie,2021-01-26,PL,PL-20,20841,18834,2007
Poland,Pomorskie,2021-01-26,PL,PL-22,48206,43911,4295
Poland,Slaskie,2021-01-26,PL,PL-24,80816,76930,3886
Poland,Swietokrzyskie,2021-01-26,PL,PL-26,19171,17984,1187
Poland,Warminsko-mazurskie,2021-01-26,PL,PL-28,24795,23799,996
Poland,Wielkopolskie,2021-01-26,PL,PL-30,61601,56793,4808
Poland,Zachodniopomorskie,2021-01-26,PL,PL-32,30025,27990,2035
Poland,Dolnoslaskie,2021-01-27,PL,PL-02,68917,61333,7584
Poland,Kujawsko-pomorskie,2021-01-27,PL,PL-04,39150,35184,3966
Poland,Lodzkie,2021-01-27,PL,PL-10,56794,50570,6224
Poland,Lubelskie,2021-01-27,PL,PL-06,43680,39847,3833
Poland,Lubuskie,2021-01-27,PL,PL-08,17836,15834,2002
Poland,Malopolskie,2021-01-27,PL,PL-12,60332,55244,5088
Poland,Mazowieckie,2021-01-27,PL,PL-14,123466,112479,10987
Poland,Opolskie,2021-01-27,PL,PL-16,21369,18795,2574
Poland,Podkarpackie,2021-01-27,PL,PL-18,31720,28799,2921
Poland,Podlaskie,2021-01-27,PL,PL-20,23208,20536,2672
Poland,Pomorskie,2021-01-27,PL,PL-22,52739,46532,6207
Poland,Slaskie,2021-01-27,PL,PL-24,88807,81455,7352
Poland,Swietokrzyskie,2021-01-27,PL,PL-26,21268,19260,2008
Poland,Warminsko-mazurskie,2021-01-27,PL,PL-28,27064,25066,1998
Poland,Wielkopolskie,2021-01-27,PL,PL-30,67330,60157,7173
Poland,Zachodniopomorskie,2021-01-27,PL,PL-32,33306,30131,3175
Poland,Dolnoslaskie,2021-01-28,PL,PL-02,87575,73627,13948
Poland,Kujawsko-pomorskie,2021-01-28,PL,PL-04,51071,43298,7773
Poland,Lodzkie,2021-01-28,PL,PL-10,72215,60358,11857
Poland,Lubelskie,2021-01-28,PL,PL-06,56716,49101,7615
Poland,Lubuskie,2021-01-28,PL,PL-08,23973,20721,3252
Poland,Malopolskie,2021-01-28,PL,PL-12,79756,69682,10074
Poland,Mazowieckie,2021-01-28,PL,PL-14,157546,136279,21267
Poland,Opolskie,2021-01-28,PL,PL-16,28644,23445,5199
Poland,Podkarpackie,2021-01-28,PL,PL-18,42782,37436,5346
Poland,Podlaskie,2021-01-28,PL,PL-20,31719,26778,4941
Poland,Pomorskie,2021-01-28,PL,PL-22,66488,55018,11470
Poland,Slaskie,2021-01-28,PL,PL-24,116209,98889,17320
Poland,Swietokrzyskie,2021-01-28,PL,PL-26,28820,24450,4370
Poland,Warminsko-mazurskie,2021-01-28,PL,PL-28,34389,29613,4776
Poland,Wielkopolskie,2021-01-28,PL,PL-30,87540,73181,14359
Poland,Zachodniopomorskie,2021-01-28,PL,PL-32,42723,36512,6211
