location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Russia,"Adygeya, Respublika",2021-01-11,RU,RU-AD,,750,
Russia,"Adygeya, Respublika",2021-01-14,RU,RU-AD,,870,
Russia,"Adygeya, Respublika",2021-01-18,RU,RU-AD,,942,
Russia,"Adygeya, Respublika",2021-01-19,RU,RU-AD,,1002,
Russia,"Adygeya, Respublika",2021-01-24,RU,RU-AD,,1200,
Russia,"Adygeya, Respublika",2021-01-28,RU,RU-AD,,1642,
Russia,"Adygeya, Respublika",2021-02-10,RU,RU-AD,,7068,
Russia,"Adygeya, Respublika",2021-02-15,RU,RU-AD,,8479,
Russia,"Adygeya, Respublika",2021-02-25,RU,RU-AD,,9285,
Russia,"Adygeya, Respublika",2021-03-05,RU,RU-AD,,10000,
Russia,"Adygeya, Respublika",2021-03-11,RU,RU-AD,,11127,
Russia,"Adygeya, Respublika",2021-03-18,RU,RU-AD,,12800,
Russia,"Adygeya, Respublika",2021-03-24,RU,RU-AD,,13700,
Russia,"Adygeya, Respublika",2021-04-01,RU,RU-AD,,14719,
Russia,"Adygeya, Respublika",2021-04-08,RU,RU-AD,28348,16748,11600
Russia,"Adygeya, Respublika",2021-04-15,RU,RU-AD,29815,17720,12095
Russia,"Adygeya, Respublika",2021-04-26,RU,RU-AD,32095,20000,12095
Russia,"Adygeya, Respublika",2021-04-28,RU,RU-AD,35200,20400,14800
Russia,"Adygeya, Respublika",2021-04-30,RU,RU-AD,36455,20955,15500
Russia,"Adygeya, Respublika",2021-05-15,RU,RU-AD,38443,22943,15500
Russia,"Adygeya, Respublika",2021-05-24,RU,RU-AD,42500,27000,15500
Russia,"Adygeya, Respublika",2021-05-27,RU,RU-AD,51000,29000,22000
Russia,"Adygeya, Respublika",2021-06-01,RU,RU-AD,52443,30443,22000
Russia,"Altay, Respublika",2020-12-21,RU,RU-AL,,94,
Russia,"Altay, Respublika",2021-01-10,RU,RU-AL,,337,
Russia,"Altay, Respublika",2021-01-13,RU,RU-AL,,440,
Russia,"Altay, Respublika",2021-01-14,RU,RU-AL,,563,
Russia,"Altay, Respublika",2021-01-18,RU,RU-AL,968,783,185
Russia,"Altay, Respublika",2021-01-22,RU,RU-AL,1534,1284,250
Russia,"Altay, Respublika",2021-01-29,RU,RU-AL,1665,1339,326
Russia,"Altay, Respublika",2021-02-01,RU,RU-AL,1934,1465,469
Russia,"Altay, Respublika",2021-02-07,RU,RU-AL,2502,1870,632
Russia,"Altay, Respublika",2021-02-10,RU,RU-AL,,2974,
Russia,"Altay, Respublika",2021-02-12,RU,RU-AL,,3500,
Russia,"Altay, Respublika",2021-02-15,RU,RU-AL,5578,4307,1271
Russia,"Altay, Respublika",2021-02-17,RU,RU-AL,5721,4437,1284
Russia,"Altay, Respublika",2021-02-23,RU,RU-AL,7164,5774,1390
Russia,"Altay, Respublika",2021-03-01,RU,RU-AL,9700,6148,3552
Russia,"Altay, Respublika",2021-03-02,RU,RU-AL,8744,6148,2596
Russia,"Altay, Respublika",2021-03-09,RU,RU-AL,11333,7273,4060
Russia,"Altay, Respublika",2021-03-11,RU,RU-AL,12827,7972,4855
Russia,"Altay, Respublika",2021-03-13,RU,RU-AL,13155,8000,5155
Russia,"Altay, Respublika",2021-03-14,RU,RU-AL,13691,8328,5363
Russia,"Altay, Respublika",2021-03-15,RU,RU-AL,14140,8369,5771
Russia,"Altay, Respublika",2021-03-16,RU,RU-AL,14242,8613,5629
Russia,"Altay, Respublika",2021-03-17,RU,RU-AL,14424,8783,5641
Russia,"Altay, Respublika",2021-03-19,RU,RU-AL,14824,8973,5851
Russia,"Altay, Respublika",2021-03-20,RU,RU-AL,14943,8977,5966
Russia,"Altay, Respublika",2021-03-22,RU,RU-AL,15004,8977,6027
Russia,"Altay, Respublika",2021-03-29,RU,RU-AL,16320,9217,7103
Russia,"Altay, Respublika",2021-03-31,RU,RU-AL,16543,9423,7120
Russia,"Altay, Respublika",2021-04-01,RU,RU-AL,16948,9677,7271
Russia,"Altay, Respublika",2021-04-09,RU,RU-AL,20594,11975,8619
Russia,"Altay, Respublika",2021-04-12,RU,RU-AL,21854,13134,8720
Russia,"Altay, Respublika",2021-04-14,RU,RU-AL,22990,14188,8802
Russia,"Altay, Respublika",2021-04-16,RU,RU-AL,23490,14688,8802
Russia,"Altay, Respublika",2021-04-18,RU,RU-AL,24283,15295,8988
Russia,"Altay, Respublika",2021-04-19,RU,RU-AL,25074,16086,8988
Russia,"Altay, Respublika",2021-04-21,RU,RU-AL,26257,17030,9227
Russia,"Altay, Respublika",2021-04-22,RU,RU-AL,27072,17494,9578
Russia,"Altay, Respublika",2021-04-27,RU,RU-AL,29598,19273,10325
Russia,"Altay, Respublika",2021-04-28,RU,RU-AL,30439,19752,10687
Russia,"Altay, Respublika",2021-04-30,RU,RU-AL,32839,20711,12128
Russia,"Altay, Respublika",2021-05-02,RU,RU-AL,33865,20966,12899
Russia,"Altay, Respublika",2021-05-04,RU,RU-AL,35185,21371,13814
Russia,"Altay, Respublika",2021-05-05,RU,RU-AL,35561,21506,14055
Russia,"Altay, Respublika",2021-05-06,RU,RU-AL,35832,21548,14284
Russia,"Altay, Respublika",2021-05-08,RU,RU-AL,36767,21677,15090
Russia,"Altay, Respublika",2021-05-09,RU,RU-AL,37988,22066,15922
Russia,"Altay, Respublika",2021-05-10,RU,RU-AL,39024,23068,15956
Russia,"Altay, Respublika",2021-05-11,RU,RU-AL,38318,22131,16187
Russia,"Altay, Respublika",2021-05-12,RU,RU-AL,39203,22230,16973
Russia,"Altay, Respublika",2021-05-13,RU,RU-AL,40177,22529,17648
Russia,"Altay, Respublika",2021-05-14,RU,RU-AL,41051,22911,18140
Russia,"Altay, Respublika",2021-05-15,RU,RU-AL,42009,23298,18711
Russia,"Altay, Respublika",2021-05-16,RU,RU-AL,42127,23328,18799
Russia,"Altay, Respublika",2021-05-17,RU,RU-AL,42171,23349,18822
Russia,"Altay, Respublika",2021-05-18,RU,RU-AL,42315,23764,18551
Russia,"Altay, Respublika",2021-05-20,RU,RU-AL,43692,24512,19180
Russia,"Altay, Respublika",2021-05-21,RU,RU-AL,44013,24733,19280
Russia,"Altay, Respublika",2021-05-23,RU,RU-AL,44700,25274,19426
Russia,"Altay, Respublika",2021-05-24,RU,RU-AL,44844,25394,19450
Russia,"Altay, Respublika",2021-05-25,RU,RU-AL,45300,25731,19569
Russia,"Altay, Respublika",2021-05-26,RU,RU-AL,45783,26006,19777
Russia,"Altay, Respublika",2021-05-27,RU,RU-AL,46402,26464,19938
Russia,"Altay, Respublika",2021-06-01,RU,RU-AL,48199,27433,20766
Russia,"Altay, Respublika",2021-06-03,RU,RU-AL,49574,28201,21373
Russia,"Altay, Respublika",2021-06-04,RU,RU-AL,50302,28566,21736
Russia,"Altay, Respublika",2021-06-06,RU,RU-AL,51507,29312,22195
Russia,"Altay, Respublika",2021-06-07,RU,RU-AL,51545,29334,22211
Russia,"Altay, Respublika",2021-06-09,RU,RU-AL,52772,29858,22914
Russia,Altayskiy kray,2021-01-08,RU,RU-ALT,,1662,
Russia,Altayskiy kray,2021-01-11,RU,RU-ALT,,1815,
Russia,Altayskiy kray,2021-01-15,RU,RU-ALT,,2852,
Russia,Altayskiy kray,2021-01-18,RU,RU-ALT,4281,3343,938
Russia,Altayskiy kray,2021-01-23,RU,RU-ALT,7890,6798,1092
