location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Spain,Andalucia,2021-01-04,ES,ES-AN,25809,25809,0
Spain,Andalucia,2021-01-05,ES,ES-AN,40263,40263,0
Spain,Andalucia,2021-01-07,ES,ES-AN,53934,53934,0
Spain,Andalucia,2021-01-08,ES,ES-AN,69445,69445,0
Spain,Andalucia,2021-01-11,ES,ES-AN,81387,81387,0
Spain,Andalucia,2021-01-12,ES,ES-AN,94879,94879,0
Spain,Andalucia,2021-01-13,ES,ES-AN,109831,109831,0
Spain,Andalucia,2021-01-14,ES,ES-AN,123459,123459,0
Spain,Andalucia,2021-01-15,ES,ES-AN,139718,139718,0
Spain,Andalucia,2021-01-18,ES,ES-AN,151404,150871,533
Spain,Andalucia,2021-01-19,ES,ES-AN,164820,163047,1773
Spain,Andalucia,2021-01-20,ES,ES-AN,174279,169711,4568
Spain,Andalucia,2021-01-21,ES,ES-AN,194101,178908,15193
Spain,Andalucia,2021-01-22,ES,ES-AN,209766,188920,20846
Spain,Andalucia,2021-01-25,ES,ES-AN,226309,200793,25516
Spain,Andalucia,2021-01-26,ES,ES-AN,251172,213194,37978
Spain,Andalucia,2021-01-27,ES,ES-AN,257976,207025,50951
Spain,Andalucia,2021-01-28,ES,ES-AN,265620,210616,55004
Spain,Andalucia,2021-01-29,ES,ES-AN,282995,215484,67511
Spain,Andalucia,2021-02-01,ES,ES-AN,299792,221152,78640
Spain,Andalucia,2021-02-02,ES,ES-AN,313286,222522,90764
Spain,Andalucia,2021-02-03,ES,ES-AN,329258,224729,104529
Spain,Andalucia,2021-02-04,ES,ES-AN,345648,227695,117953
Spain,Andalucia,2021-02-05,ES,ES-AN,363482,231789,131693
Spain,Andalucia,2021-02-08,ES,ES-AN,378943,235391,143552
Spain,Andalucia,2021-02-09,ES,ES-AN,390077,238500,151577
Spain,Andalucia,2021-02-10,ES,ES-AN,401714,241745,159969
Spain,Andalucia,2021-02-11,ES,ES-AN,415015,246928,168087
Spain,Andalucia,2021-02-12,ES,ES-AN,431642,254911,176731
Spain,Andalucia,2021-02-15,ES,ES-AN,457018,266151,190867
Spain,Andalucia,2021-02-16,ES,ES-AN,468983,274506,194477
Spain,Andalucia,2021-02-17,ES,ES-AN,485673,287359,198314
Spain,Andalucia,2021-02-18,ES,ES-AN,506973,304342,202631
Spain,Andalucia,2021-02-19,ES,ES-AN,561803,353082,208721
Spain,Andalucia,2021-02-22,ES,ES-AN,607552,392482,215070
Spain,Andalucia,2021-02-23,ES,ES-AN,626659,410042,216617
Spain,Andalucia,2021-02-24,ES,ES-AN,653919,434952,218967
Spain,Andalucia,2021-02-25,ES,ES-AN,688093,466536,221557
Spain,Andalucia,2021-02-26,ES,ES-AN,724385,499317,225068
Spain,Andalucia,2021-03-01,ES,ES-AN,769899,541160,228739
Spain,Andalucia,2021-03-02,ES,ES-AN,774701,545872,228829
Spain,Andalucia,2021-03-03,ES,ES-AN,796930,563496,233434
Spain,Andalucia,2021-03-04,ES,ES-AN,834477,596327,238150
Spain,Andalucia,2021-03-05,ES,ES-AN,878194,634145,244049
Spain,Andalucia,2021-03-08,ES,ES-AN,933763,678059,255704
Spain,Andalucia,2021-03-09,ES,ES-AN,951168,688057,263111
Spain,Andalucia,2021-03-10,ES,ES-AN,971691,696631,275060
Spain,Andalucia,2021-03-11,ES,ES-AN,1000998,708257,292741
Spain,Andalucia,2021-03-12,ES,ES-AN,1046334,723715,322619
Spain,Andalucia,2021-03-15,ES,ES-AN,1098755,741867,356888
Spain,Andalucia,2021-03-16,ES,ES-AN,1113414,750223,363191
Spain,Andalucia,2021-03-17,ES,ES-AN,1135990,752784,383206
Spain,Andalucia,2021-03-18,ES,ES-AN,1163449,756690,406759
Spain,Andalucia,2021-03-22,ES,ES-AN,1185021,764854,420167
Spain,Andalucia,2021-03-23,ES,ES-AN,1202553,780214,422339
Spain,Andalucia,2021-03-24,ES,ES-AN,1258375,803007,455368
Spain,Andalucia,2021-03-25,ES,ES-AN,1293949,821673,472276
Spain,Andalucia,2021-03-26,ES,ES-AN,1330236,840930,489306
Spain,Andalucia,2021-03-29,ES,ES-AN,1375025,873193,501832
Spain,Andalucia,2021-03-30,ES,ES-AN,1400384,895971,504413
Spain,Andalucia,2021-03-31,ES,ES-AN,1441414,933984,507430
