location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Sweden,Blekinge lan,2020-12-27,SE,SE-K,179,179,0
Sweden,Blekinge lan,2021-01-03,SE,SE-K,683,683,0
Sweden,Blekinge lan,2021-01-10,SE,SE-K,1694,1694,0
Sweden,Blekinge lan,2021-01-17,SE,SE-K,2904,2847,57
Sweden,Blekinge lan,2021-01-24,SE,SE-K,4576,4238,338
Sweden,Blekinge lan,2021-01-31,SE,SE-K,7051,5570,1481
Sweden,Blekinge lan,2021-02-07,SE,SE-K,9684,7049,2635
Sweden,Blekinge lan,2021-02-14,SE,SE-K,12281,8320,3961
Sweden,Blekinge lan,2021-02-21,SE,SE-K,16014,10767,5247
Sweden,Blekinge lan,2021-02-28,SE,SE-K,18784,12297,6487
Sweden,Blekinge lan,2021-03-07,SE,SE-K,22182,14685,7497
Sweden,Blekinge lan,2021-03-14,SE,SE-K,26850,17868,8982
Sweden,Blekinge lan,2021-03-21,SE,SE-K,29529,19119,10410
Sweden,Blekinge lan,2021-03-28,SE,SE-K,32027,20439,11588
Sweden,Blekinge lan,2021-04-04,SE,SE-K,36031,23441,12590
Sweden,Blekinge lan,2021-04-11,SE,SE-K,41828,28150,13678
Sweden,Blekinge lan,2021-04-18,SE,SE-K,49156,35251,13905
Sweden,Blekinge lan,2021-04-25,SE,SE-K,56345,42140,14205
Sweden,Blekinge lan,2021-05-02,SE,SE-K,61417,47063,14354
Sweden,Blekinge lan,2021-05-09,SE,SE-K,67267,51846,15421
Sweden,Blekinge lan,2021-05-16,SE,SE-K,74883,56687,18196
Sweden,Blekinge lan,2021-05-23,SE,SE-K,84978,61149,23829
Sweden,Blekinge lan,2021-05-30,SE,SE-K,95788,66338,29450
Sweden,Blekinge lan,2021-06-06,SE,SE-K,104502,71001,33501
Sweden,Blekinge lan,2021-06-13,SE,SE-K,113988,76086,37902
Sweden,Blekinge lan,2021-06-20,SE,SE-K,124287,80177,44110
Sweden,Blekinge lan,2021-06-27,SE,SE-K,136398,84717,51681
Sweden,Blekinge lan,2021-07-04,SE,SE-K,148947,90170,58777
Sweden,Blekinge lan,2021-07-11,SE,SE-K,159754,94824,64930
Sweden,Blekinge lan,2021-07-18,SE,SE-K,165029,99025,66004
Sweden,Blekinge lan,2021-07-25,SE,SE-K,173031,102515,70516
Sweden,Blekinge lan,2021-08-01,SE,SE-K,179636,104493,75143
Sweden,Blekinge lan,2021-08-08,SE,SE-K,184647,105686,78961
Sweden,Blekinge lan,2021-08-15,SE,SE-K,191661,107804,83857
Sweden,Blekinge lan,2021-08-22,SE,SE-K,198660,109467,89193
