location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Switzerland,Aargau,2021-01-21,CH,CH-AG,12100,12100,
Switzerland,Aargau,2021-01-24,CH,CH-AG,12973,12973,
Switzerland,Aargau,2021-01-27,CH,CH-AG,16730,16730,
Switzerland,Aargau,2021-01-31,CH,CH-AG,20034,20034,
Switzerland,Aargau,2021-02-03,CH,CH-AG,24812,24812,
Switzerland,Aargau,2021-02-07,CH,CH-AG,28490,28490,
Switzerland,Aargau,2021-02-10,CH,CH-AG,32736,32736,
Switzerland,Aargau,2021-02-14,CH,CH-AG,34163,28871,5292
Switzerland,Aargau,2021-02-17,CH,CH-AG,41131,32774,8357
Switzerland,Aargau,2021-02-21,CH,CH-AG,46551,35534,11017
Switzerland,Aargau,2021-02-24,CH,CH-AG,54741,39778,14963
Switzerland,Aargau,2021-02-28,CH,CH-AG,61653,44176,17477
Switzerland,Aargau,2021-03-03,CH,CH-AG,69432,48554,20878
Switzerland,Aargau,2021-03-07,CH,CH-AG,75204,51798,23406
Switzerland,Aargau,2021-03-10,CH,CH-AG,80458,55255,25203
Switzerland,Aargau,2021-03-14,CH,CH-AG,88609,60079,28530
Switzerland,Appenzell Ausserrhoden,2021-01-21,CH,CH-AR,1718,1718,
Switzerland,Appenzell Ausserrhoden,2021-01-24,CH,CH-AR,2349,2349,
Switzerland,Appenzell Ausserrhoden,2021-01-27,CH,CH-AR,2787,2787,
Switzerland,Appenzell Ausserrhoden,2021-01-31,CH,CH-AR,3542,3542,
Switzerland,Appenzell Ausserrhoden,2021-02-03,CH,CH-AR,3562,3562,
Switzerland,Appenzell Ausserrhoden,2021-02-10,CH,CH-AR,3758,3758,
Switzerland,Appenzell Ausserrhoden,2021-02-14,CH,CH-AR,3788,2824,964
Switzerland,Appenzell Ausserrhoden,2021-02-17,CH,CH-AR,4663,3168,1495
Switzerland,Appenzell Ausserrhoden,2021-02-21,CH,CH-AR,5105,3269,1836
Switzerland,Appenzell Ausserrhoden,2021-02-24,CH,CH-AR,5828,3460,2368
Switzerland,Appenzell Ausserrhoden,2021-02-28,CH,CH-AR,5944,3485,2459
Switzerland,Appenzell Ausserrhoden,2021-03-03,CH,CH-AR,6575,3671,2904
Switzerland,Appenzell Ausserrhoden,2021-03-07,CH,CH-AR,6652,3710,2942
Switzerland,Appenzell Ausserrhoden,2021-03-10,CH,CH-AR,7034,4055,2979
Switzerland,Appenzell Ausserrhoden,2021-03-14,CH,CH-AR,7045,4055,2990
Switzerland,Appenzell Innerrhoden,2021-01-21,CH,CH-AI,823,823,
Switzerland,Appenzell Innerrhoden,2021-01-24,CH,CH-AI,917,917,
Switzerland,Appenzell Innerrhoden,2021-01-27,CH,CH-AI,1077,1077,
Switzerland,Appenzell Innerrhoden,2021-01-31,CH,CH-AI,1092,1092,
Switzerland,Appenzell Innerrhoden,2021-02-03,CH,CH-AI,1395,1395,
Switzerland,Appenzell Innerrhoden,2021-02-07,CH,CH-AI,1438,1438,
Switzerland,Appenzell Innerrhoden,2021-02-10,CH,CH-AI,1679,1679,
Switzerland,Appenzell Innerrhoden,2021-02-14,CH,CH-AI,1729,1114,615
Switzerland,Appenzell Innerrhoden,2021-02-17,CH,CH-AI,2048,1159,889
Switzerland,Appenzell Innerrhoden,2021-02-21,CH,CH-AI,2129,1163,966
Switzerland,Appenzell Innerrhoden,2021-02-24,CH,CH-AI,2229,1219,1010
