location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Turkey,Adana,2021-02-15,TR,TR-01,95912,81669,14243
Turkey,Adiyaman,2021-02-15,TR,TR-02,26374,23410,2964
Turkey,Afyonkarahisar,2021-02-15,TR,TR-03,37923,33286,4637
Turkey,Agri,2021-02-15,TR,TR-04,6793,5441,1352
Turkey,Aksaray,2021-02-15,TR,TR-68,15683,13671,2012
Turkey,Amasya,2021-02-15,TR,TR-05,26907,24228,2679
Turkey,Ankara,2021-02-15,TR,TR-06,360693,303065,57628
Turkey,Antalya,2021-02-15,TR,TR-07,121700,104709,16991
Turkey,Ardahan,2021-02-15,TR,TR-75,3936,3513,423
Turkey,Artvin,2021-02-15,TR,TR-08,11373,10206,1167
Turkey,Aydin,2021-02-15,TR,TR-09,72727,64864,7863
Turkey,Balikesir,2021-02-15,TR,TR-10,92543,83342,9201
Turkey,Bartin,2021-02-15,TR,TR-74,10403,9321,1082
Turkey,Batman,2021-02-15,TR,TR-72,16319,14468,1851
Turkey,Bayburt,2021-02-15,TR,TR-69,3019,2652,367
Turkey,Bilecik,2021-02-15,TR,TR-11,13121,11958,1163
Turkey,Bingol,2021-02-15,TR,TR-12,6713,5520,1193
Turkey,Bitlis,2021-02-15,TR,TR-13,6707,5464,1243
Turkey,Bolu,2021-02-15,TR,TR-14,24672,21128,3544
Turkey,Burdur,2021-02-15,TR,TR-15,20560,18496,2064
Turkey,Bursa,2021-02-15,TR,TR-16,141667,123388,18279
Turkey,Canakkale,2021-02-15,TR,TR-17,42239,37552,4687
Turkey,Cankiri,2021-02-15,TR,TR-18,12588,11260,1328
Turkey,Corum,2021-02-15,TR,TR-19,34220,30691,3529
Turkey,Denizli,2021-02-15,TR,TR-20,61071,52964,8107
Turkey,Diyarbakir,2021-02-15,TR,TR-21,43990,36167,7823
Turkey,Duzce,2021-02-15,TR,TR-81,17018,15087,1931
Turkey,Edirne,2021-02-15,TR,TR-22,31514,26679,4835
Turkey,Elazig,2021-02-15,TR,TR-23,30314,25477,4837
Turkey,Erzincan,2021-02-15,TR,TR-24,12373,10731,1642
