location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Ukraine,Cherkaska oblast,2021-05-07,UA,UA-71,30619,30618,1
Ukraine,Chernihivska oblast,2021-05-07,UA,UA-74,17419,17419,0
Ukraine,Chernivetska oblast,2021-05-07,UA,UA-77,16926,16923,3
Ukraine,Dnipropetrovska oblast,2021-05-07,UA,UA-12,62026,62005,21
Ukraine,Donetska oblast,2021-05-07,UA,UA-14,33813,33799,14
Ukraine,Ivano-Frankivska oblast,2021-05-07,UA,UA-26,23505,23505,0
Ukraine,Kharkivska oblast,2021-05-07,UA,UA-63,40693,40663,30
Ukraine,Khersonska oblast,2021-05-07,UA,UA-65,24069,24069,0
Ukraine,Khmelnytska oblast,2021-05-07,UA,UA-68,25462,25454,8
Ukraine,Kirovohradska oblast,2021-05-07,UA,UA-35,19596,19566,30
Ukraine,Kyiv,2021-05-07,UA,UA-30,81678,81665,13
Ukraine,Kyivska oblast,2021-05-07,UA,UA-32,44503,44503,0
Ukraine,Luhanska oblast,2021-05-07,UA,UA-09,15927,15927,0
Ukraine,Lvivska oblast,2021-05-07,UA,UA-46,53791,53791,0
Ukraine,Mykolaivska oblast,2021-05-07,UA,UA-48,26416,26376,40
Ukraine,Odeska oblast,2021-05-07,UA,UA-51,31613,31613,0
Ukraine,Poltavska oblast,2021-05-07,UA,UA-53,37893,37644,249
Ukraine,Rivnenska oblast,2021-05-07,UA,UA-56,22464,22464,0
Ukraine,Sumska oblast,2021-05-07,UA,UA-59,25444,25444,0
Ukraine,Ternopilska oblast,2021-05-07,UA,UA-61,24514,24514,0
Ukraine,Vinnytska oblast,2021-05-07,UA,UA-05,32318,32318,0
Ukraine,Volynska oblast,2021-05-07,UA,UA-07,18927,18927,0
Ukraine,Zakarpatska oblast,2021-05-07,UA,UA-21,19790,19790,0
Ukraine,Zaporizka oblast,2021-05-07,UA,UA-23,28006,27998,8
Ukraine,Zhytomyrska oblast,2021-05-07,UA,UA-18,26817,26815,2
