location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
United States,Alabama,2021-01-15,US,US-AL,100444,86956,13488
United States,Alabama,2021-01-19,US,US-AL,130665,114319,16346
United States,Alabama,2021-01-20,US,US-AL,139069,121113,17956
United States,Alaska,2021-01-15,US,US-AK,48952,39546,9406
United States,Alaska,2021-01-19,US,US-AK,66236,55434,10802
United States,Alaska,2021-01-20,US,US-AK,68194,56911,11283
United States,American Samoa,2021-01-15,US,US-AS,3882,3144,738
United States,American Samoa,2021-01-19,US,US-AS,4755,3985,770
United States,American Samoa,2021-01-20,US,US-AS,5312,4476,836
United States,Arizona,2021-01-15,US,US-AZ,197050,176213,20837
United States,Arizona,2021-01-19,US,US-AZ,266223,235331,30892
United States,Arizona,2021-01-20,US,US-AZ,281748,246960,34788
United States,Arkansas,2021-01-15,US,US-AR,116610,97829,18781
United States,Arkansas,2021-01-19,US,US-AR,140497,118763,21734
United States,Arkansas,2021-01-20,US,US-AR,171333,144792,26541
United States,Bureau of Prisons,2021-01-15,US,-,16651,14565,2086
United States,Bureau of Prisons,2021-01-19,US,-,17591,15500,2091
United States,Bureau of Prisons,2021-01-20,US,-,19041,15949,3092
United States,California,2021-01-15,US,US-CA,1069761,865387,204374
United States,California,2021-01-19,US,US-CA,1456807,1195969,260838
United States,California,2021-01-20,US,US-CA,1528587,1255311,273276
United States,Colorado,2021-01-15,US,US-CO,270782,223761,47021
United States,Colorado,2021-01-19,US,US-CO,328536,278639,49897
United States,Colorado,2021-01-20,US,US-CO,338634,287174,51460
United States,Connecticut,2021-01-15,US,US-CT,183884,166722,17162
United States,Connecticut,2021-01-19,US,US-CT,224814,201664,23150
United States,Connecticut,2021-01-20,US,US-CT,238163,213145,25018
United States,Delaware,2021-01-15,US,US-DE,31003,25649,5354
United States,Delaware,2021-01-19,US,US-DE,42447,35679,6768
United States,Delaware,2021-01-20,US,US-DE,45529,38610,6919
United States,Dept of Defense,2021-01-15,US,-,196950,179004,17946
United States,Dept of Defense,2021-01-19,US,-,249687,227934,21753
United States,Dept of Defense,2021-01-20,US,-,251710,229553,22157
United States,District of Columbia,2021-01-15,US,US-DC,39917,31667,8250
United States,District of Columbia,2021-01-19,US,US-DC,49943,39747,10196
United States,District of Columbia,2021-01-20,US,US-DC,51688,41135,10553
United States,Federated States of Micronesia,2021-01-15,FM,-,694,692,2
United States,Federated States of Micronesia,2021-01-19,FM,-,1436,1434,2
United States,Federated States of Micronesia,2021-01-20,FM,-,1756,1753,3
United States,Florida,2021-01-15,US,US-FL,851206,776430,74776
United States,Florida,2021-01-19,US,US-FL,1171960,1068787,103173
United States,Florida,2021-01-20,US,US-FL,1237101,1125338,111763
United States,Georgia,2021-01-15,US,US-GA,226625,204301,22324
United States,Georgia,2021-01-19,US,US-GA,307058,278151,28907
United States,Georgia,2021-01-20,US,US-GA,391039,356010,35029
United States,Guam,2021-01-15,US,US-GU,3785,3785,0
United States,Guam,2021-01-19,US,US-GU,3785,3785,0
United States,Guam,2021-01-20,US,US-GU,3785,3785,0
United States,Hawaii,2021-01-15,US,US-HI,46958,39690,7268
United States,Hawaii,2021-01-19,US,US-HI,63954,52635,11319
United States,Hawaii,2021-01-20,US,US-HI,71944,58111,13833
United States,Idaho,2021-01-15,US,US-ID,46489,37646,8843
United States,Idaho,2021-01-19,US,US-ID,63774,53609,10165
United States,Idaho,2021-01-20,US,US-ID,69066,58328,10738
United States,Illinois,2021-01-15,US,US-IL,432766,341518,91248
United States,Illinois,2021-01-19,US,US-IL,518895,414362,104533
United States,Illinois,2021-01-20,US,US-IL,533475,425824,107651
United States,Indian Health Svc,2021-01-15,US,-,90039,77309,12730
United States,Indian Health Svc,2021-01-19,US,-,103677,90329,13348
United States,Indian Health Svc,2021-01-20,US,-,108509,93635,14874
United States,Indiana,2021-01-15,US,US-IN,260282,222599,37683
United States,Indiana,2021-01-19,US,US-IN,334641,283779,50862
United States,Indiana,2021-01-20,US,US-IN,356336,297720,58616
United States,Iowa,2021-01-15,US,US-IA,118798,108056,10742
United States,Iowa,2021-01-19,US,US-IA,142671,130042,12629
United States,Iowa,2021-01-20,US,US-IA,147523,133528,13995
United States,Kansas,2021-01-15,US,US-KS,96789,83293,13496
United States,Kansas,2021-01-19,US,US-KS,117426,101824,15602
United States,Kansas,2021-01-20,US,US-KS,121692,105679,16013
United States,Kentucky,2021-01-15,US,US-KY,173405,162733,10672
United States,Kentucky,2021-01-19,US,US-KY,214599,201688,12911
United States,Kentucky,2021-01-20,US,US-KY,222493,208664,13829
United States,Louisiana,2021-01-15,US,US-LA,197609,167193,30416
United States,Louisiana,2021-01-19,US,US-LA,255076,221109,33967
United States,Louisiana,2021-01-20,US,US-LA,263880,228831,35049
United States,Maine,2021-01-15,US,US-ME,59905,51631,8274
United States,Maine,2021-01-19,US,US-ME,72734,62716,10018
United States,Maine,2021-01-20,US,US-ME,74921,64260,10661
United States,Marshall Islands,2021-01-15,MH,-,634,632,2
United States,Marshall Islands,2021-01-19,MH,-,1252,1250,2
United States,Marshall Islands,2021-01-20,MH,-,1484,1482,2
United States,Maryland,2021-01-15,US,US-MD,194661,178831,15830
United States,Maryland,2021-01-19,US,US-MD,247250,225456,21794
United States,Maryland,2021-01-20,US,US-MD,257798,233443,24355
United States,Massachusetts,2021-01-15,US,US-MA,256994,222109,34885
United States,Massachusetts,2021-01-19,US,US-MA,318665,277612,41053
United States,Massachusetts,2021-01-20,US,US-MA,330271,288209,42062
United States,Michigan,2021-01-15,US,US-MI,360951,312415,48536
United States,Michigan,2021-01-19,US,US-MI,480008,417228,62780
United States,Michigan,2021-01-20,US,US-MI,504937,434402,70535
United States,Minnesota,2021-01-15,US,US-MN,198072,170273,27799
United States,Minnesota,2021-01-19,US,US-MN,251234,209118,42116
United States,Minnesota,2021-01-20,US,US-MN,252246,209862,42384
United States,Mississippi,2021-01-15,US,US-MS,84281,75885,8396
United States,Mississippi,2021-01-19,US,US-MS,113491,103946,9545
United States,Mississippi,2021-01-20,US,US-MS,122504,112525,9979
United States,Missouri,2021-01-15,US,US-MO,190189,153664,36525
United States,Missouri,2021-01-19,US,US-MO,235161,189793,45368
United States,Missouri,2021-01-20,US,US-MO,243197,193867,49330
United States,Montana,2021-01-15,US,US-MT,49353,41160,8193
United States,Montana,2021-01-19,US,US-MT,55880,47209,8671
United States,Montana,2021-01-20,US,US-MT,57207,48086,9121
United States,Nebraska,2021-01-15,US,US-NE,90784,77734,13050
United States,Nebraska,2021-01-19,US,US-NE,102914,89054,13860
United States,Nebraska,2021-01-20,US,US-NE,105503,91040,14463
United States,Nevada,2021-01-15,US,US-NV,82987,67679,15308
United States,Nevada,2021-01-19,US,US-NV,102056,85391,16665
United States,Nevada,2021-01-20,US,US-NV,106319,89110,17209
United States,New Hampshire,2021-01-15,US,US-NH,62497,56797,5700
United States,New Hampshire,2021-01-19,US,US-NH,71522,64402,7120
United States,New Hampshire,2021-01-20,US,US-NH,75379,67366,8013
United States,New Jersey,2021-01-15,US,US-NJ,315697,278956,36741
United States,New Jersey,2021-01-19,US,US-NJ,398532,354653,43879
United States,New Jersey,2021-01-20,US,US-NJ,430579,381159,49420
United States,New Mexico,2021-01-15,US,US-NM,98883,80172,18711
United States,New Mexico,2021-01-19,US,US-NM,135686,112450,23236
United States,New Mexico,2021-01-20,US,US-NM,140834,116128,24706
United States,New York,2021-01-15,US,US-NY,744834,671311,73523
United States,New York,2021-01-19,US,US-NY,987095,884908,102187
United States,New York,2021-01-20,US,US-NY,1033160,926339,106821
United States,North Carolina,2021-01-15,US,US-NC,302649,259859,42790
