country,country_iso,data_source_url,last_update,second_dose
Belgium,BE,https://covid-vaccinatie.be/en,2021-08-25,1
Argentina,AR,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,2021-08-25,1
Austria,AT,https://info.gesundheitsministerium.gv.at/,2021-08-25,1
Brazil,BR,https://github.com/wcota/covid19br/,2021-08-25,1
Canada,CA,https://github.com/ccodwg/Covid19Canada,2021-08-25,1
Chile,CL,https://github.com/juancri/covid19-vaccination/,2021-07-15,1
Czechia,CZ,https://onemocneni-aktualne.mzcr.cz/api/v2/covid-19/,2021-08-25,1
Denmark,DK,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning,2021-08-25,1
France,FR,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/,2021-08-24,1
Germany,DE,https://github.com/mathiasbynens/covid-19-vaccinations-germany/,2021-08-25,1
India,IN,https://india-covid19vaccine.github.io,2021-05-03,1
Italy,IT,https://github.com/italia/covid19-opendata-vaccini/,2021-08-25,1
Norway,NO,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,2021-08-26,1
Poland,PL,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,2021-02-11,1
Slovakia,SK,https://github.com/Institut-Zdravotnych-Analyz/covid19-data/,2021-08-26,1
Spain,ES,https://github.com/civio/covid-vaccination-spain/,2021-08-25,1
Sweden,SE,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/,2021-08-22,1
Switzerland,CH,https://github.com/rsalzer/COVID_19_VACC/,2021-04-04,1
United States,US,https://github.com/youyanggu/covid19-cdc-vaccination-data,2021-03-07,1
United Kingdom,GB,https://coronavirus.data.gov.uk/details/download,2021-08-24,1
Peru,PE,https://gis.minsa.gob.pe/GisVisorVacunados/,2021-06-14,0
Turkey,TR,https://covid19asi.saglik.gov.tr/,2021-08-25,1
Iceland,IS,https://e.infogram.com/c3bc3569-c86d-48a7-9d4c-377928f102bf,2021-05-11,1
Australia,AU,https://covidlive.com.au/report/vaccinations,2021-08-26,0
Lebanon,LB,https://impact.cib.gov.lb/home/dashboard/vaccine,2021-08-26,0
Russia,RU,https://gogov.ru/articles/covid-v-stats,2021-08-26,1
Finland,FI,https://piikki.juiciness.io/,2021-07-20,1
Korea,KR,https://ncv.kdca.go.kr/,2021-08-26,1
Uruguay,UY,https://github.com/3dgiordano/covid-19-uy-vacc-data/,2021-08-26,1
Ukraine,UA,https://health-security.rnbo.gov.ua/vaccination,2021-05-07,1
