country,country_iso,data_source_url,last_update,second_dose
Czechia,CZ,https://onemocneni-aktualne.mzcr.cz/api/v2/covid-19/,2021-01-31,1
Austria,AT,https://info.gesundheitsministerium.gv.at/,2021-02-01,1
Italy,IT,https://github.com/italia/covid19-opendata-vaccini/,2021-02-01,1
Canada,CA,https://github.com/ccodwg/Covid19Canada,2021-01-31,1
Germany,DE,https://github.com/mathiasbynens/covid-19-vaccinations-germany/,2021-01-31,1
Slovakia,SK,https://github.com/Institut-Zdravotnych-Analyz/covid19-data/,2021-01-26,1
Spain,ES,https://github.com/civio/covid-vaccination-spain/,2021-01-29,1
Chile,CL,https://github.com/juancri/covid19-vaccination/,2021-01-31,1
United Kingdom,GB,https://coronavirus.data.gov.uk/details/download,2021-01-31,1
Brazil,BR,https://github.com/wcota/covid19br/,2021-01-31,0
Switzerland,CH,https://github.com/rsalzer/COVID_19_VACC/,2021-01-27,0
Liechtenstein,LI,https://github.com/rsalzer/COVID_19_VACC/,2021-01-27,0
Belgium,BE,https://covid-vaccinatie.be/en,2021-01-31,1
France,FR,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/,2021-01-30,1
Denmark,DK,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning,2021-01-31,1
Norway,NO,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,2021-02-01,1
Poland,PL,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,2021-02-01,1
Sweden,SE,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik-over-forbrukade-vaccindoser,2021-01-17,0
Argentina,AR,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,2021-02-01,1
Bulgaria,BG,https://coronavirus.bg/bg/statistika,2021-01-16,0
United States,US,https://covid.cdc.gov/covid-data-tracker/COVIDData/,2021-01-31,1
